SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
acorn.js~63464-63502:24-1,acorn.js~64343-64345:19-1,1633,453,42,pp$3.parseMaybeUnary,pp$6.finishNode,benchmarks/acorn.js~63494:2001799-2001843,
acorn.js~188199-188210:5-5,<builtin>~1-1:1-1,94,109,22,isKey,RegExp.prototype.test,benchmarks/acorn.js~188208:7214716-7214740,
acorn.js~180899-180925:7-7,acorn.js~180243-180263:5-5,3,129,253,update,emit,benchmarks/acorn.js~180917:6980215-6980231,
acorn.js~66201-66212:22-1,acorn.js~66182-66190:20-1,12,167,89,pp$8.readToken_dot,pp$8.finishToken,benchmarks/acorn.js~66207:2080190-2080221,
acorn.js~61913-61994:14-1,acorn.js~61909-61911:1-1,94,759,63,Parser,keywordRegexp,benchmarks/acorn.js~61925:1946815-1946843,
acorn.js~180825-180828:7-7,lodash.templateSources[26]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/acorn.js~180827:6977092-6977168,
acorn.js~62288-62312:36-1,acorn.js~62041-62048:10-1,285,235,37,pp$1.parseBreakContinueStatement,pp.eat,benchmarks/acorn.js~62293:1959514-1959533,
acorn.js~63755-63773:17-1,acorn.js~64155-64178:19-1,610,265,215,pp$3.parseNew,pp$3.parseIdent,benchmarks/acorn.js~63757:2011940-2011960,
acorn.js~62166-62181:22-1,acorn.js~64343-64345:19-1,48,157,42,pp$1.parseTopLevel,pp$6.finishNode,benchmarks/acorn.js~62180:1954997-1955028,
<builtin>~1-1:1-1,lodash.templateSources[53]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
acorn.js~62699-62719:19-1,acorn.js~62106-62108:13-1,66,180,34,pp$1.parseClass,pp.expect,benchmarks/acorn.js~62709:1973753-1973777,
acorn.js~62471-62491:26-1,acorn.js~62106-62108:13-1,198,269,34,pp$1.parseTryStatement,pp.expect,benchmarks/acorn.js~62482:1966255-1966279,
acorn.js~179890-179904:7-7,acorn.js~179909-179951:7-7,4,147,172,execute,getNext,benchmarks/acorn.js~179903:6947310-6947318,
acorn.js~196646-196752:5-5,<builtin>~1-1:1-1,77,458,29,template,RegExp,benchmarks/acorn.js~196669-196674:7477494-7477737,
acorn.js~184362-184368:5-5,<builtin>~1-1:1-1,1184,86,12,assignValue,Function.prototype.call,benchmarks/acorn.js~184364:7085767-7085798,
acorn.js~216128-216135:22-1,acorn.js~215884-215888:7-3,312,79,70,base.ObjectPattern,c,benchmarks/acorn.js~216133:10580370-10580397,
<builtin>~1-1:1-1,lodash.templateSources[94]~1-15:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
acorn.js~63198-63266:18-1,acorn.js~64282-64286:26-1,28106,375,71,pp$2.checkLVal,pp$5.canDeclareVarName,benchmarks/acorn.js~63212:1990836-1990868,
acorn.js~216174-216178:30-1,acorn.js~215884-215888:7-3,3060,61,67,base.ConditionalExpression,c,benchmarks/acorn.js~216177:10581692-10581726,
<builtin>~1-1:1-1,lodash.templateSources[37]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
acorn.js~62602-62618:19-1,acorn.js~63370-63404:25-1,18,247,385,pp$1.parseForIn,pp$3.parseMaybeAssign,benchmarks/acorn.js~62612:1970683-1970705,
acorn.js~215884-215888:7-3,acorn.js~216163-216165:48-1,9336,64,24,c,base.UpdateExpression,benchmarks/acorn.js~215886:10572325-10572347,
acorn.js~183957-183962:5-5,acorn.js~184378-184386:5-5,48,45,58,listCacheGet,assocIndexOf,benchmarks/acorn.js~183959:7074297-7074319,
acorn.js~65525-65535:34-1,acorn.js~65536-65545:33-1,861,124,55,pp$9.regexp_eatCharacterEscape,pp$9.regexp_eatCControlLetter,benchmarks/acorn.js~65528:2061007-2061042,
acorn.js~63182-63189:26-1,acorn.js~62041-62048:10-1,4572,103,37,pp$2.parseMaybeDefault,pp.eat,benchmarks/acorn.js~63184:1989687-1989704,
acorn.js~186352-186357:5-5,<builtin>~1-1:1-1,94,55,16,castPath,Array.isArray,benchmarks/acorn.js~186353:7151400-7151413,
acorn.js~63425-63430:21-1,acorn.js~63464-63502:24-1,146430,97,451,pp$3.parseExprOps,pp$3.parseMaybeUnary,benchmarks/acorn.js~63427:1998855-1998905,
acorn.js~63661-63667:21-1,acorn.js~64343-64345:19-1,21588,103,42,pp$3.parseLiteral,pp$6.finishNode,benchmarks/acorn.js~63666:2008718-2008749,
acorn.js~179733-179748:5-5,acorn.js~187049-187091:7-7,2,94,311,setOptions,wrapper,benchmarks/acorn.js~179734:6941701-6941737,
acorn.js~196646-196752:5-5,acorn.js~193467-193474:5-5,77,458,66,template,isError,benchmarks/acorn.js~196748:7480361-7480375,
acorn.js~62493-62498:26-1,acorn.js~66028-66037:13-1,8988,70,90,pp$1.parseVarStatement,pp$8.next,benchmarks/acorn.js~62494:1966696-1966706,
acorn.js~180825-180828:7-7,lodash.templateSources[32]~4-20:8-1,1,93,231,interpolate,:anonymous,benchmarks/acorn.js~180827:6977092-6977168,
acorn.js~180825-180828:7-7,lodash.templateSources[30]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/acorn.js~180827:6977092-6977168,
acorn.js~65091-65122:23-1,acorn.js~65125-65140:27-1,1317,211,104,pp$9.regexp_pattern,pp$9.regexp_disjunction,benchmarks/acorn.js~65101:2048991-2049020,
acorn.js~62058-62062:20-1,acorn.js~66028-66037:13-1,12,49,92,pp.eatContextual,pp$8.next,benchmarks/acorn.js~62060:1951085-1951095,
acorn.js~180709-180771:7-7,acorn.js~180825-180828:7-7,7,466,93,createCompiled,interpolate,benchmarks/acorn.js~180756:6974940-6974956,
acorn.js~62089-62091:16-1,acorn.js~62041-62048:10-1,40877,45,37,pp.semicolon,pp.eat,benchmarks/acorn.js~62090:1951898-1951917,
acorn.js~180825-180828:7-7,lodash.templateSources[81]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/acorn.js~180827:6977092-6977168,
acorn.js~65525-65535:34-1,acorn.js~65956-65972:44-1,609,124,96,pp$9.regexp_eatCharacterEscape,pp$9.regexp_eatLegacyOctalEscapeSequence,benchmarks/acorn.js~65532:2061208-2061254,
