SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
babel-minify.js~304302-304342:1-1,babel-minify.js~12918-12931:1-1,42,362,63,isFirstInStatement,isExportDefaultDeclaration,benchmarks/babel-minify.js~304314-304316:13483156-13483226,
babel-minify.js~304513-304523:1-1,babel-minify.js~303448-303492:3-3,84,78,406,TemplateLiteral,print,benchmarks/babel-minify.js~304517:13487833-13487859,
babel-minify.js~75459-75468:36-3,babel-minify.js~74420-74422:23-3,35,82,36,parseFunctionExpression,startNode,benchmarks/babel-minify.js~75460:2362100-2362115,
babel-minify.js~196740-196743:28-7,lodash.templateSources[50]~1-15:1-2,1,51,10,result,:program,benchmarks/babel-minify.js~196741:7480055-7480107,
babel-minify.js~180610-180702:15-7,<builtin>~1-1:1-1,2,493,18,clock,Function.prototype.[Symbol.hasInstance],benchmarks/babel-minify.js~180613:6968865-6968889,
babel-minify.js~138381-138426:1-1,babel-minify.js~138372-138374:11-3,5,504,9,normalizeOptions,_path,benchmarks/babel-minify.js~138398:5158821-5158827,
babel-minify.js~139711-139729:7-7,babel-minify.js~12093-12106:1-1,246,107,71,visit,isBinaryExpression,benchmarks/babel-minify.js~139725:5197085-5197110,
babel-minify.js~324493-324511:1-1,babel-minify.js~324487-324491:1-1,647,105,32,getFunctionReferences,getFunctionParent,benchmarks/babel-minify.js~324494:14005245-14005280,
babel-minify.js~330593-330610:7-7,<builtin>~1-1:1-1,131,244,8,NumericLiteral,Number.prototype.toExponential,benchmarks/babel-minify.js~330596:14173878-14173908,
babel-minify.js~309698-309730:1-1,<builtin>~1-1:1-1,36,138,9,evaluateCached,Map.prototype.get,benchmarks/babel-minify.js~309707:13610277-13610290,
babel-minify.js~135035-135045:1-1,babel-minify.js~134991-134993:7-3,48,56,9,isOrHasCallExpression,t,benchmarks/babel-minify.js~135036:5073473-5073475,
babel-minify.js~80158-80189:29-3,babel-minify.js~137752-137758:1-1,5,425,62,:=>,assertConfigFileSearch,benchmarks/babel-minify.js~80188:2509757-2509781,
babel-minify.js~131569-131571:3-3,babel-minify.js~131461-131463:7-3,61707,30,9,checkPath,t,benchmarks/babel-minify.js~131570:4958702-4958704,
babel-minify.js~314154-314192:52-1,babel-minify.js~330626-330650:18-1,5,223,52,:=>,module.exports,benchmarks/babel-minify.js~314168:13734372-13734399,
babel-minify.js~76252-76370:34-3,babel-minify.js~76587-76602:33-3,75,748,149,parseStatementContent,parseReturnStatement,benchmarks/babel-minify.js~76283:2388976-2389006,
babel-minify.js~308227-308250:1-1,babel-minify.js~1954-1956:8-3,102,191,13,getTypeAnnotationBindingConstantViolations,get,benchmarks/babel-minify.js~308248:13573839-13573867,
babel-minify.js~324116-324280:3-3,babel-minify.js~324116-324280:3-3,5,8,100,BuiltInReplacer,BuiltInReplacer,benchmarks/babel-minify.js~324116-324280:13993571-13998952,
