SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
babel.js~124437-124458:32-3,babel.js~121322-121332:17-3,8723,180,130,parseIdentifierName,next,benchmarks/babel.js~124456:4720814-4720824,
babel.js~264944-264967:24-3,babel.js~237039-237068:1-1,24,291,214,:anonymous,validate,benchmarks/babel.js~264951:12032822-12032852,
babel.js~228138-228208:23-3,babel.js~226995-226997:22-3,1,422,36,readNumber,hasPlugin,benchmarks/babel.js~228171:10919250-10919273,
babel.js~261407-261414:3-3,babel.js~261407-261414:3-3,31,8,72,Renamer,Renamer,benchmarks/babel.js~261407-261414:11913316-11913529,
babel.js~287772-288068:8-7,babel.js~216304-216325:11-11,1,123,119,:anonymous,__webpack_require__,benchmarks/babel.js~287790:13002190-13002211,
babel.js~281420-281529:1-1,<builtin>~1-1:1-1,1,528,54,rewriteLiveReferences,Map,benchmarks/babel.js~281422:12464137-12464145,
babel.js~289646-290324:8-7,<builtin>~1-1:1-1,1,3768,27,:anonymous,Function.prototype.apply,benchmarks/babel.js~290029:13057232-13057297,
babel.js~265835-265842:1-1,babel.js~265886-265896:4-1,2,64,53,_callRemovalHooks,:anonymous,benchmarks/babel.js~265840:12054577-12054601,
babel.js~272071-272086:1-1,babel.js~269265-269273:17-3,6,91,52,SwitchStatement,word,benchmarks/babel.js~272072:12245422-12245440,
babel.js~180825-180828:7-7,lodash.templateSources[32]~4-20:8-1,1,75,360,interpolate,:anonymous,benchmarks/babel.js~180827:6977092-6977168,
<builtin>~1-1:1-1,babel.js~289461-289470:8-7,1,12,40,Function.prototype.call,:anonymous,<builtin>~1:0,
babel.js~180825-180828:7-7,lodash.templateSources[56]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/babel.js~180827:6977092-6977168,
babel.js~269290-269307:20-3,babel.js~269309-269311:21-3,62160,144,26,newline,endsWith,benchmarks/babel.js~269301:12174847-12174866,
babel.js~124135-124142:35-3,babel.js~121345-121347:18-3,3,200,24,isGetterOrSetterMethod,match,benchmarks/babel.js~124139:4709597-4709618,
babel.js~236998-237022:1-1,<builtin>~1-1:1-1,24,187,8,_objectWithoutProperties,Object.getOwnPropertySymbols,benchmarks/babel.js~237011:11215592-11215627,
babel.js~274635-274679:17-3,<builtin>~1-1:1-1,7,258,57,init,Array.prototype.filter,benchmarks/babel.js~274667-274669:12304054-12304141,
babel.js~291655-291792:8-7,babel.js~255449-255478:1-1,1,181,55,:anonymous,makeAccessor,benchmarks/babel.js~291691:13101685-13101723,
babel.js~230637-230755:34-3,babel.js~230895-230956:30-3,2,732,426,parseStatementContent,parseForStatement,benchmarks/babel.js~230656:10999093-10999120,
babel.js~221892-221903:8-7,babel.js~216304-216325:11-11,1,26,119,:anonymous,__webpack_require__,benchmarks/babel.js~221895:10738394-10738416,
babel.js~218510-219347:8-7,<builtin>~1-1:1-1,1,1928,57,:anonymous,Object.defineProperty,benchmarks/babel.js~218566-218571:10651659-10651801,
babel.js~225945-226076:18-3,babel.js~266487-266496:1-1,17,901,60,crawl,get,benchmarks/babel.js~225965:10846921-10846934,
babel.js~122213-122280:26-3,<builtin>~1-1:1-1,2777,555,19,readTmplToken,String.prototype.charCodeAt,benchmarks/babel.js~122223:4648984-4649020,
babel.js~237226-237245:1-1,babel.js~269567-269578:31-3,414,109,64,ArrayExpression,printInnerComments,benchmarks/babel.js~237230:11221660-11221688,
babel.js~274909-274923:1-1,<builtin>~1-1:1-1,133,91,31,assertVisitorMap,Array.prototype.forEach,benchmarks/babel.js~274913-274915:12310558-12310658,
babel.js~248702-248716:36-5,babel.js~217917-217919:27-5,3437,128,26,addDeclarationsFromChild,:anonymous,benchmarks/babel.js~248713:11558576-11558611,
babel.js~288564-288576:8-7,babel.js~216304-216325:11-11,1,47,119,:anonymous,__webpack_require__,benchmarks/babel.js~288568:13023121-13023143,
babel.js~221640-221689:1-1,babel.js~217664-217666:8-3,21,318,13,_default,get,benchmarks/babel.js~221664:10733528-10733546,
babel.js~221579-221585:45-3,babel.js~226201-226204:33-3,1,79,34,ReferencedIdentifierBindingIdentifier,getBindingIdentifier,benchmarks/babel.js~221581:10731367-10731409,
babel.js~238444-238753:8-7,babel.js~216304-216325:11-11,1,548,119,:anonymous,__webpack_require__,benchmarks/babel.js~238451:11253918-11253940,
babel.js~269458-269460:35-5,babel.js~237247-237249:1-1,150,47,92,:anonymous,RegExpLiteral,benchmarks/babel.js~269459:12178685-12178714,
babel.js~250720-250726:1-1,babel.js~217917-217919:27-5,1326,39,26,getName,:anonymous,benchmarks/babel.js~250721:11618403-11618431,
babel.js~288704-288713:8-7,babel.js~222529-222581:15-1,1,44,523,:anonymous,$export,benchmarks/babel.js~288709-288711:13026305-13026372,
babel.js~256199-256208:18-3,<builtin>~1-1:1-1,271112,71,16,visit,Array.isArray,benchmarks/babel.js~256203:11788041-11788060,
<builtin>~1-1:1-1,lodash.templateSources[70]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
babel.js~225945-226076:18-3,<builtin>~1-1:1-1,1740,727,68,crawl,Object.create,benchmarks/babel.js~225949:10846397-10846415,
babel.js~261869-261885:1-1,babel.js~221397-221399:37-3,1,93,26,getStatementParent,:anonymous,benchmarks/babel.js~261873:11951175-11951192,
babel.js~275360-275393:1-1,babel.js~275258-275282:1-1,7,169,220,flattenArgumentsOptionsParts,_objectWithoutProperties,benchmarks/babel.js~275366:12323314-12323402,
babel.js~262776-262789:1-1,babel.js~221358-221362:18-3,210,121,43,_replaceWith,debug,benchmarks/babel.js~262787:11973739-11973787,
babel.js~196740-196743:28-7,lodash.templateSources[36]~1-13:1-2,1,51,10,result,:program,benchmarks/babel.js~196741:7480055-7480107,
babel.js~123384-123479:27-3,babel.js~122672-122675:25-3,269,817,25,parseSubscript,startNodeAt,benchmarks/babel.js~123432:4686982-4687017,
<builtin>~1-1:1-1,babel.js~238893-238953:8-7,1,12,84,Function.prototype.call,:anonymous,<builtin>~1:0,
