SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
babylon.js~180825-180828:7-7,lodash.templateSources[44]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/babylon.js~180827:6977092-6977168,
babylon.js~123554-123719:26-3,babylon.js~123992-124008:26-3,690,1244,161,parseExprAtom,parseTemplate,benchmarks/babylon.js~123700:4695875-4695899,
babylon.js~123384-123479:27-3,babylon.js~121345-121347:18-3,157918,749,24,parseSubscript,match,benchmarks/babylon.js~123469:4688293-4688319,
babylon.js~123992-124008:26-3,babylon.js~123114-123133:28-3,612,184,191,parseTemplate,parseExpression,benchmarks/babylon.js~124001:4705299-4705320,
babylon.js~124993-125025:30-3,babylon.js~121322-121332:17-3,194,388,130,parseTryStatement,next,benchmarks/babylon.js~125000:4738126-4738136,
babylon.js~124915-124932:33-3,babylon.js~122570-122572:29-3,8199,133,47,parseReturnStatement,isLineTerminator,benchmarks/babylon.js~124924:4735955-4735977,
babylon.js~122925-122935:36-3,babylon.js~122942-122951:30-3,13120,85,112,parseAssignableListItem,parseMaybeDefault,benchmarks/babylon.js~122928:4669149-4669204,
babylon.js~123554-123719:26-3,babylon.js~121322-121332:17-3,1787,1200,130,parseExprAtom,next,benchmarks/babylon.js~123677:4695213-4695223,
babylon.js~196740-196743:28-7,lodash.templateSources[54]~1-21:1-2,1,51,10,result,:program,benchmarks/babylon.js~196741:7480055-7480107,
babylon.js~180709-180771:7-7,<function>~1-7:1-2,1,431,10,createCompiled,:program,benchmarks/babylon.js~180766-180770:6975252-6975445,
babylon.js~187049-187091:7-7,babylon.js~186567-186589:5-5,52,283,146,wrapper,composeArgs,benchmarks/babylon.js~187062:7175715-7175761,
babylon.js~196740-196743:28-7,lodash.templateSources[43]~1-25:1-2,1,51,10,result,:program,benchmarks/babylon.js~196741:7480055-7480107,
babylon.js~128895-128917:30-7,babylon.js~121345-121347:18-3,10386,166,24,updateContext,match,benchmarks/babylon.js~128896:4872151-4872174,
babylon.js~196740-196743:28-7,lodash.templateSources[36]~1-13:1-2,1,51,10,result,:program,benchmarks/babylon.js~196741:7480055-7480107,
babylon.js~121941-121991:23-3,babylon.js~121537-121544:24-3,570,314,101,readRegexp,finishToken,benchmarks/babylon.js~121987-121990:4642032-4642112,
babylon.js~124839-124900:30-3,babylon.js~122541-122543:25-3,281,465,54,parseForStatement,isContextual,benchmarks/babylon.js~124887:4734658-4734680,
babylon.js~121442-121457:29-3,babylon.js~121230-121232:24-3,3147,295,33,skipBlockComment,curPosition,benchmarks/babylon.js~121443:4628237-4628260,
babylon.js~123297-123350:28-3,babylon.js~122561-122563:31-3,1538,578,70,parseMaybeUnary,canInsertSemicolon,benchmarks/babylon.js~123338:4683796-4683820,
<builtin>~1-1:1-1,lodash.templateSources[53]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
babylon.js~124011-124133:21-3,<builtin>~1-1:1-1,5538,687,42,parseObj,Array.prototype.push,benchmarks/babylon.js~124121:4708826-4708851,
