SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
buble.js~64105-64128:22-1,buble.js~62106-62108:13-1,5070,199,36,pp$3.parseExprList,pp.expect,benchmarks/buble.js~64111:2024834-2024859,
<builtin>~1-1:1-1,buble.js~333534-333535:25-40,5,65,44,Array.prototype.map,:=>,<builtin>~1:0,
<builtin>~1-1:1-1,/\s*/~1-1:1-6,150,95,9,RegExp.prototype.exec,regex TRegex fwd: /\s*h/,<builtin>~1:0,
buble.js~335673-335706:48-2,buble.js~344293-344307:16-2,558,301,86,transpile,prependRight,benchmarks/buble.js~335697:14314043-14314084,
buble.js~63567-63659:22-1,buble.js~64005-64029:29-1,133,1051,223,pp$3.parseExprAtom,pp$3.parseArrowExpression,benchmarks/buble.js~63597:2006531-2006606,
buble.js~336956-336961:44-2,buble.js~335645-335657:1-1,1506,97,78,transpile,removeTrailingComma,benchmarks/buble.js~336959:14352516-14352581,
buble.js~180825-180828:7-7,lodash.templateSources[96]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~62072-62076:25-1,<builtin>~1-1:1-1,34156,77,22,pp.canInsertSemicolon,RegExp.prototype.test,benchmarks/buble.js~62075:1951458-1951518,
buble.js~335356-335389:36-6,buble.js~344309-344334:10-2,6,295,203,:anonymous,remove,benchmarks/buble.js~335371:14305298-14305322,
buble.js~66438-66444:24-1,buble.js~66182-66190:20-1,10,111,77,pp$8.readRadixNumber,pp$8.finishToken,benchmarks/buble.js~66443:2088638-2088669,
buble.js~180825-180828:7-7,lodash.templateSources[24]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~178735-178783:18-1,<builtin>~1-1:1-1,2,287,9,module.exports,String.prototype.slice,benchmarks/buble.js~178778:6911739-6911773,
<builtin>~1-1:1-1,buble.js~180217-180224:20-9,1,12,48,Function.prototype.call,onCycle,<builtin>~1:0,
buble.js~64033-64072:26-1,buble.js~62992-62996:31-1,2386,342,74,pp$3.parseFunctionBody,pp$1.adaptDirectivePrologue,benchmarks/buble.js~64062:2023440-2023482,
buble.js~336516-336526:42-2,buble.js~334402-334406:30-1,18,64,87,transpile,findNearest,benchmarks/buble.js~336517:14338924-14338954,
buble.js~334441-334441:18-80,buble.js~342747-342749:41-2,1218,27,21,:anonymous,initialise,benchmarks/buble.js~334441:14281742-14281768,
buble.js~66118-66130:24-1,<builtin>~1-1:1-1,2994,216,9,pp$8.skipLineComment,String.prototype.slice,benchmarks/buble.js~66128:2077966-2078010,
