SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
chai.js~347674-347933:15-3,chai.js~349956-349980:23-3,3,4419,99,:anonymous,methodWrapper,benchmarks/chai.js~347716:14651566-14651594,
chai.js~80388-80727:1-1,<builtin>~1-1:1-1,1473,637,9,typeDetect,String.prototype.slice,benchmarks/chai.js~80722-80726:2529175-2529286,
chai.js~347276-347289:26-3,chai.js~41344-41394:10-5,3,669,307,:=>,proxyGetter,benchmarks/chai.js~347277:14636970-14637019,
chai.js~346740-346742:12-5,chai.js~41344-41394:10-5,3,101,307,:=>,proxyGetter,benchmarks/chai.js~346741:14620911-14620938,
chai.js~349791-349819:1-1,chai.js~349750-349756:1-1,492,213,90,objectEqual,getEnumerableKeys,benchmarks/chai.js~349793:14708739-14708773,
chai.js~353412-353536:3-3,chai.js~347076-347078:12-5,3,1023,64,assertThrows,:=>,benchmarks/chai.js~353427:14830557-14830561,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13332,307,:=>,proxyGetter,benchmarks/chai.js~347515:14645453-14645482,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13339,307,:=>,proxyGetter,benchmarks/chai.js~347624:14648965-14648998,
chai.js~346095-346097:12-5,chai.js~354616-354618:17-3,3,101,30,:=>,chai.expect,benchmarks/chai.js~346096:14600432-14600440,
chai.js~41362-41364:17-9,chai.js~41407-41432:1-1,6245,38,351,:anonymous,stringDistance,benchmarks/chai.js~41363:1264960-1264986,
chai.js~348258-348326:30-3,chai.js~41344-41394:10-5,3,1127,307,:=>,proxyGetter,benchmarks/chai.js~348259:14668315-14668365,
chai.js~345955-345962:12-5,chai.js~41344-41394:10-5,3,157,307,:=>,proxyGetter,benchmarks/chai.js~345961:14596433-14596466,
chai.js~188016-188036:5-5,chai.js~186352-186357:5-5,50,161,55,hasPath,castPath,benchmarks/chai.js~188017:7208811-7208832,
chai.js~347674-347933:15-3,chai.js~41344-41394:10-5,3,4419,307,:anonymous,proxyGetter,benchmarks/chai.js~347842-347844:14655911-14655993,
chai.js~348064-348113:17-3,chai.js~349956-349980:23-3,3,1071,99,:=>,methodWrapper,benchmarks/chai.js~348065:14662640-14662669,
chai.js~347674-347933:15-3,chai.js~41344-41394:10-5,3,4419,307,:anonymous,proxyGetter,benchmarks/chai.js~347720:14651719-14651740,
chai.js~345584-345618:38-3,chai.js~41344-41394:10-5,2,403,307,:=>,proxyGetter,benchmarks/chai.js~345605-345607:14586877-14586976,
chai.js~345976-346098:31-3,chai.js~41344-41394:10-5,3,1949,307,:=>,proxyGetter,benchmarks/chai.js~346073-346075:14599765-14599845,
chai.js~346860-347027:15-3,chai.js~349956-349980:23-3,3,2874,99,:=>,methodWrapper,benchmarks/chai.js~346958-346963:14627474-14627626,
chai.js~345822-345829:14-3,chai.js~41344-41394:10-5,3,203,307,:=>,proxyGetter,benchmarks/chai.js~345824:14592725-14592747,
chai.js~348378-348464:16-3,chai.js~41344-41394:10-5,3,1659,307,:=>,proxyGetter,benchmarks/chai.js~348423-348425:14672781-14672858,
chai.js~345185-345200:18-3,chai.js~349956-349980:23-3,2,234,99,:=>,methodWrapper,benchmarks/chai.js~345197-345199:14575266-14575375,
chai.js~344945-344961:28-5,chai.js~354616-354618:17-3,4,277,30,:=>,chai.expect,benchmarks/chai.js~344958-344960:14568467-14568515,
chai.js~347642-347672:18-3,chai.js~41344-41394:10-5,3,608,307,:=>,proxyGetter,benchmarks/chai.js~347644-347646:14649734-14649799,
chai.js~347935-347977:19-3,chai.js~41344-41394:10-5,3,733,307,:=>,proxyGetter,benchmarks/chai.js~347946:14659136-14659153,
chai.js~345990-345992:12-5,chai.js~41344-41394:10-5,3,101,307,:=>,proxyGetter,benchmarks/chai.js~345991:14597455-14597478,
chai.js~345584-345618:38-3,chai.js~41344-41394:10-5,2,403,307,:=>,proxyGetter,benchmarks/chai.js~345605-345607:14586877-14586982,
chai.js~346270-346316:26-3,chai.js~349956-349980:23-3,3,930,99,:=>,methodWrapper,benchmarks/chai.js~346294-346299:14606654-14606838,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13338,307,:=>,proxyGetter,benchmarks/chai.js~347624:14648965-14648993,
chai.js~347674-347933:15-3,chai.js~41344-41394:10-5,3,4419,307,:anonymous,proxyGetter,benchmarks/chai.js~347720:14651719-14651734,
chai.js~346454-346456:12-5,chai.js~354616-354618:17-3,3,100,30,:=>,chai.expect,benchmarks/chai.js~346455:14611846-14611866,
chai.js~351377-351379:21-9,chai.js~351335-351337:3-3,82,30,48,:anonymous,SameValueZero,benchmarks/chai.js~351378:14759099-14759114,
chai.js~346100-346174:39-3,chai.js~41344-41394:10-5,3,1145,307,:=>,proxyGetter,benchmarks/chai.js~346111:14601052-14601088,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13332,307,:=>,proxyGetter,benchmarks/chai.js~347515:14645453-14645478,
chai.js~347935-347977:19-3,chai.js~41344-41394:10-5,3,733,307,:=>,proxyGetter,benchmarks/chai.js~347946:14659136-14659160,
chai.js~354162-354197:3-3,chai.js~22582-22589:18-1,30,530,164,assertIncreases,flag,benchmarks/chai.js~354190:14858057-14858096,
chai.js~346740-346742:12-5,chai.js~41344-41394:10-5,3,101,307,:=>,proxyGetter,benchmarks/chai.js~346741:14620911-14620935,
chai.js~347328-347631:38-3,chai.js~354616-354618:17-3,3,13328,30,:=>,chai.expect,benchmarks/chai.js~347428:14642693-14642707,
chai.js~345873-345974:20-3,chai.js~41344-41394:10-5,3,922,307,:=>,proxyGetter,benchmarks/chai.js~345905-345907:14594871-14594948,
chai.js~348469-348471:13-7,<builtin>~1-1:1-1,12,21,44,pFn,Array.prototype.push,benchmarks/chai.js~348470:14674300-14674316,
chai.js~346091-346093:12-5,chai.js~354616-354618:17-3,3,101,30,:=>,chai.expect,benchmarks/chai.js~346092:14600280-14600296,
chai.js~345314-345408:20-3,chai.js~349956-349980:23-3,2,1010,99,:=>,methodWrapper,benchmarks/chai.js~345384-345389:14580179-14580379,
chai.js~348532-348585:20-3,chai.js~354616-354618:17-3,3,1147,30,:anonymous,chai.expect,benchmarks/chai.js~348557-348559:14676556-14676613,
chai.js~346931-346933:12-5,chai.js~41344-41394:10-5,3,64,307,:=>,proxyGetter,benchmarks/chai.js~346932:14626678-14626695,
chai.js~347935-347977:19-3,chai.js~41344-41394:10-5,3,733,307,:=>,proxyGetter,benchmarks/chai.js~347946:14659136-14659157,
chai.js~345822-345829:14-3,chai.js~41344-41394:10-5,3,203,307,:=>,proxyGetter,benchmarks/chai.js~345824:14592725-14592744,
chai.js~352914-352929:3-3,chai.js~350834-350849:32-3,36,190,267,assertLength,Assertion.assert,benchmarks/chai.js~352922-352928:14811720-14811903,
chai.js~345955-345962:12-5,chai.js~41344-41394:10-5,3,157,307,:=>,proxyGetter,benchmarks/chai.js~345961:14596433-14596463,
chai.js~348159-348195:30-3,chai.js~354616-354618:17-3,3,516,30,:=>,chai.expect,benchmarks/chai.js~348185-348191:14665994-14666153,
chai.js~346931-346933:12-5,chai.js~41344-41394:10-5,3,64,307,:=>,proxyGetter,benchmarks/chai.js~346932:14626678-14626698,
chai.js~345812-345820:15-3,chai.js~349956-349980:23-3,3,277,99,:=>,methodWrapper,benchmarks/chai.js~345817-345819:14592545-14592661,
chai.js~346113-346115:12-5,chai.js~354616-354618:17-3,3,104,30,:=>,chai.expect,benchmarks/chai.js~346114:14601138-14601148,
chai.js~347328-347631:38-3,chai.js~349956-349980:23-3,3,13301,99,:=>,methodWrapper,benchmarks/chai.js~347337:14639128-14639178,
chai.js~345202-345212:21-3,chai.js~355479-355481:24-3,2,155,115,:=>,assert.isNotObject,benchmarks/chai.js~345207:14575530-14575554,
chai.js~353412-353536:3-3,chai.js~345500-345502:12-5,2,1009,44,assertThrows,:=>,benchmarks/chai.js~353427:14830557-14830561,
chai.js~346212-346214:12-5,chai.js~41344-41394:10-5,3,100,307,:=>,proxyGetter,benchmarks/chai.js~346213:14604047-14604076,
chai.js~347246-347274:24-3,chai.js~41344-41394:10-5,3,1270,307,:=>,proxyGetter,benchmarks/chai.js~347258:14636471-14636514,
chai.js~352105-352152:3-3,chai.js~22582-22589:18-1,78,447,164,assertLeast,flag,benchmarks/chai.js~352108:14781943-14781964,
chai.js~346318-346423:18-3,chai.js~354616-354618:17-3,3,1947,30,:=>,chai.expect,benchmarks/chai.js~346392-346394:14609707-14609773,
chai.js~352390-352438:33-3,chai.js~22582-22589:18-1,63,658,164,:anonymous,flag,benchmarks/chai.js~352391:14791770-14791795,
chai.js~353117-353242:3-3,chai.js~22582-22589:18-1,354,962,164,assertKeys,flag,benchmarks/chai.js~353231:14822108-14822129,
chai.js~347097-347099:12-5,chai.js~41344-41394:10-5,3,68,307,:=>,proxyGetter,benchmarks/chai.js~347098:14631424-14631445,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13297,307,:=>,proxyGetter,benchmarks/chai.js~347332:14638804-14638832,
chai.js~345990-345992:12-5,chai.js~41344-41394:10-5,3,101,307,:=>,proxyGetter,benchmarks/chai.js~345991:14597455-14597474,
<builtin>~1-1:1-1,chai.js~353687-353698:3-3,9,26,130,Function.prototype.apply,satisfy,<builtin>~1:0,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13332,307,:=>,proxyGetter,benchmarks/chai.js~347515:14645453-14645473,
chai.js~347328-347631:38-3,chai.js~41344-41394:10-5,3,13338,307,:=>,proxyGetter,benchmarks/chai.js~347624:14648965-14648989,
chai.js~347055-347091:13-3,chai.js~354616-354618:17-3,3,952,30,:=>,chai.expect,benchmarks/chai.js~347058:14630355-14630370,
chai.js~347674-347933:15-3,chai.js~41344-41394:10-5,3,4419,307,:anonymous,proxyGetter,benchmarks/chai.js~347842-347844:14655911-14655987,
