SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
coffeescript.js~367066-367068:5-5,coffeescript.js~367071-367085:5-5,330,22,30,hasDeclarations,declaredVariables,benchmarks/coffeescript.js~367067:15441332-15441355,
<builtin>~1-1:1-1,coffeescript.js~180930-181003:7-7,3,12,368,Function.prototype.call,evaluate,<builtin>~1:0,
coffeescript.js~188445-188461:14-7,<builtin>~1-1:1-1,275,143,11,:anonymous,Array,benchmarks/coffeescript.js~188449:7222719-7222731,
coffeescript.js~366655-366658:7-7,coffeescript.js~360966-360968:8-3,60,58,8,isStatement,NO,benchmarks/coffeescript.js~366657:15427867-15427896,
coffeescript.js~187908-187916:54-5,coffeescript.js~182451-182464:3-3,32,45,71,getSymbols,arrayFilter,benchmarks/coffeescript.js~187913-187915:7205332-7205454,
coffeescript.js~358860-359152:32-9,<builtin>~1-1:1-1,44946,1186,30,:anonymous,Array.prototype.values,benchmarks/coffeescript.js~358864:15007895-15007960,
coffeescript.js~361319-361327:7-7,coffeescript.js~361298-361317:7-7,60624,35,173,traverseChildren,eachChild,benchmarks/coffeescript.js~361320-361326:15228109-15228309,
coffeescript.js~364829-364839:43-9,<builtin>~1-1:1-1,50250,139,18,:=>,Function.prototype.[Symbol.hasInstance],benchmarks/coffeescript.js~364833:15358609-15358635,
coffeescript.js~359679-360540:16-1,coffeescript.js~41610-41640:12-5,72,10836,288,anonymous,:anonymous,benchmarks/coffeescript.js~359710-359711:15056525-15056597,
coffeescript.js~188064-188068:5-5,coffeescript.js~183074-183076:12-5,30,39,23,initCloneObject,:anonymous,benchmarks/coffeescript.js~188066:7210236-7210255,
coffeescript.js~366144-366169:7-7,<builtin>~1-1:1-1,66,274,18,compileNode,Function.prototype.[Symbol.hasInstance],benchmarks/coffeescript.js~366160:15408691-15408708,
coffeescript.js~362082-362086:5-5,coffeescript.js~361395-361397:7-7,2166,56,22,compileNode,makeCode,benchmarks/coffeescript.js~362085:15255985-15256003,
coffeescript.js~358639-358687:7-7,coffeescript.js~359172-359281:7-7,6,257,33,rewrite,rescueStowawayComments,benchmarks/coffeescript.js~358667:15000214-15000242,
