SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
espree.js~64271-64276:25-1,<builtin>~1-1:1-1,11076,67,19,pp$5.exitLexicalScope,Array.prototype.pop,benchmarks/espree.js~64272:2030563-2030583,
espree.js~65830-65856:28-1,espree.js~65033-65039:39-1,4184,115,40,pp$9.regexp_eatClassAtom,eat,benchmarks/espree.js~65833:2069716-2069738,
espree.js~179733-179748:5-5,espree.js~187049-187091:7-7,2,74,283,setOptions,wrapper,benchmarks/espree.js~179734:6941701-6941737,
espree.js~196740-196743:28-7,lodash.templateSources[28]~1-15:1-2,1,51,10,result,:program,benchmarks/espree.js~196741:7480055-7480107,
espree.js~179733-179748:5-5,espree.js~187049-187091:7-7,2,74,283,setOptions,wrapper,benchmarks/espree.js~179734:6941740-6941757,
<function>~1-7:2-1,espree.js~197631-197633:5-5,1,130,7,anonymous,noop,<function>~5:569-594,
espree.js~62342-62386:26-1,<builtin>~1-1:1-1,1446,506,44,pp$1.parseForStatement,Array.prototype.push,benchmarks/espree.js~62345:1961352-1961378,
espree.js~65830-65856:28-1,espree.js~65859-65883:30-1,1399,115,115,pp$9.regexp_eatClassAtom,pp$9.regexp_eatClassEscape,benchmarks/espree.js~65834:2069751-2069783,
espree.js~195182-195184:5-5,espree.js~193208-193210:5-5,121,29,34,keys,isArrayLike,benchmarks/espree.js~195183:7430025-7430043,
espree.js~63425-63430:21-1,espree.js~63438-63452:20-1,130399,92,175,pp$3.parseExprOps,pp$3.parseExprOp,benchmarks/espree.js~63429:1999066-1999117,
espree.js~65307-65317:31-1,espree.js~65033-65039:39-1,17433,88,40,pp$9.regexp_eatExtendedAtom,eat,benchmarks/espree.js~65309:2054872-2054894,
espree.js~186732-186754:23-7,<builtin>~1-1:1-1,198,151,9,:anonymous,Object,benchmarks/espree.js~186746:7164722-7164735,
espree.js~142432-142437:16-9,<builtin>~1-1:1-1,8347,66,12,:anonymous,Function.prototype.call,benchmarks/espree.js~142436:5290529-5290593,
espree.js~194471-194481:33-5,<builtin>~1-1:1-1,352,146,12,assign,Function.prototype.call,benchmarks/espree.js~194477:7408892-7408923,
<builtin>~1-1:1-1,lodash.templateSources[32]~1-21:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~64416-64424:22-1,<builtin>~1-1:1-1,646478,73,12,pp$7.updateContext,Function.prototype.call,benchmarks/espree.js~64421:2035431-2035457,
espree.js~185379-185390:5-5,<builtin>~1-1:1-1,44,134,12,baseKeys,Function.prototype.call,benchmarks/espree.js~185385:7119987-7120018,
<builtin>~1-1:1-1,espree.js~64343-64345:19-1,433445,12,38,Function.prototype.call,pp$6.finishNode,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[26]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,espree.js~63847-63896:22-1,8347,12,325,Function.prototype.call,pp$3.parseProperty,<builtin>~1:0,
espree.js~179733-179748:5-5,espree.js~194889-194891:5-5,2,74,29,setOptions,forOwn,benchmarks/espree.js~179736-179747:6941768-6942154,
espree.js~180709-180771:7-7,<function>~1-4:1-2,1,429,10,createCompiled,:program,benchmarks/espree.js~180760-180763:6975070-6975200,
<builtin>~1-1:1-1,lodash.templateSources[43]~1-25:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~192995-192998:5-5,espree.js~184511-184591:5-5,52,33,405,cloneDeepWith,baseClone,benchmarks/espree.js~192997:7369137-7369202,
espree.js~196740-196743:28-7,lodash.templateSources[84]~1-13:1-2,1,51,10,result,:program,benchmarks/espree.js~196741:7480055-7480107,
espree.js~180507-180545:31-9,espree.js~193648-193650:5-5,84,250,23,:anonymous,isObjectLike,benchmarks/espree.js~180516:6965523-6965543,
espree.js~180825-180828:7-7,lodash.templateSources[68]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/espree.js~180827:6977092-6977168,
<builtin>~1-1:1-1,espree.js~64460-64467:62-1,18055,12,124,Function.prototype.call,updateContext,<builtin>~1:0,
espree.js~180507-180545:31-9,espree.js~193060-193062:5-5,78,250,35,:anonymous,eq,benchmarks/espree.js~180542:6966583-6966604,
espree.js~179017-179020:12-3,<builtin>~1-1:1-1,3,134,8,onCycle,Console.log,benchmarks/espree.js~179018:6918022-6918079,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,6,19,7,Date.prototype.[Symbol.toPrimitive],Date.prototype.valueOf,<builtin>~1:0,
espree.js~62622-62643:17-1,espree.js~142303-142306:38-5,12348,244,48,pp$1.parseVar,:anonymous,benchmarks/espree.js~62639:1971638-1971682,
<builtin>~1-1:1-1,espree.js~367128-367133:25-5,24,55,86,Array.prototype.map,:=>,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[47]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~184362-184368:5-5,<builtin>~1-1:1-1,1184,78,12,assignValue,Function.prototype.call,benchmarks/espree.js~184364:7085767-7085798,
espree.js~179909-179951:7-7,espree.js~179956-179961:7-7,2,175,94,getNext,isAsync,benchmarks/espree.js~179927:6948017-6948030,
espree.js~62602-62618:19-1,espree.js~142303-142306:38-5,449,223,48,pp$1.parseForIn,:anonymous,benchmarks/espree.js~62617:1970836-1970862,
espree.js~63370-63404:25-1,espree.js~63408-63421:30-1,130399,337,161,pp$3.parseMaybeAssign,pp$3.parseMaybeConditional,benchmarks/espree.js~63386:1997061-1997116,
espree.js~180709-180771:7-7,<function>~1-8:1-2,1,431,10,createCompiled,:program,benchmarks/espree.js~180766-180770:6975252-6975445,
espree.js~63408-63421:30-1,espree.js~63425-63430:21-1,130399,161,92,pp$3.parseMaybeConditional,pp$3.parseExprOps,benchmarks/espree.js~63410:1998254-1998300,
espree.js~180825-180828:7-7,lodash.templateSources[64]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/espree.js~180827:6977092-6977168,
espree.js~61868-61888:1-1,<builtin>~1-1:1-1,46,221,16,getOptions,Array.isArray,benchmarks/espree.js~61884:1945548-1945573,
espree.js~193208-193210:5-5,espree.js~193523-193531:5-5,2,34,81,isArrayLike,isFunction,benchmarks/espree.js~193209:7374897-7374913,
espree.js~180825-180828:7-7,lodash.templateSources[59]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/espree.js~180827:6977092-6977168,
<builtin>~1-1:1-1,lodash.templateSources[82]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~65795-65806:33-1,espree.js~65033-65039:39-1,15778,65,40,pp$9.regexp_eatCharacterClass,eat,benchmarks/espree.js~65796:2068453-2068475,
espree.js~62416-62456:29-1,espree.js~63669-63674:29-1,83,353,50,pp$1.parseSwitchStatement,pp$3.parseParenExpression,benchmarks/espree.js~62420:1964284-1964310,
espree.js~62622-62643:17-1,espree.js~62645-62648:19-1,12347,244,51,pp$1.parseVar,pp$1.parseVarId,benchmarks/espree.js~62629:1971077-1971105,
<builtin>~1-1:1-1,lodash.templateSources[58]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~142316-142321:42-9,espree.js~142272-142294:1-1,1185031,34,132,:anonymous,isValidToken,benchmarks/espree.js~142317:5286163-5286180,
espree.js~187049-187091:7-7,<builtin>~1-1:1-1,52,283,27,wrapper,Function.prototype.apply,benchmarks/espree.js~187090:7176697-7176723,
espree.js~62000-62002:27-1,espree.js~142351-142378:37-5,46,51,13,extend,:anonymous,benchmarks/espree.js~62001:1949606-1949618,
