SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
esprima.js~147354-147361:40-6,esprima.js~144981-144983:37-6,12,119,55,Parser.parseDirective,Parser.getTokenRaw,benchmarks/esprima.js~147358:5501948-5501970,
esprima.js~144304-144308:6-6,esprima.js~144304-144308:6-6,36,8,33,DoWhileStatement,DoWhileStatement,benchmarks/esprima.js~144304-144308:5372011-5372165,
esprima.js~183561-183572:14-7,esprima.js~193619-193622:5-5,30,64,27,:anonymous,isObject,benchmarks/esprima.js~183562:7063806-7063820,
esprima.js~149153-149199:30-6,esprima.js~148533-148611:41-6,274462,344,504,Scanner.lex,Scanner.scanPunctuator,benchmarks/esprima.js~149170:5575188-5575208,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,2,12,20,Function.prototype.call,Array.prototype.shift,<builtin>~1:0,
esprima.js~184511-184591:5-5,<builtin>~1-1:1-1,48,499,16,baseClone,Array.isArray,benchmarks/esprima.js~184526:7090983-7090996,
esprima.js~147026-147108:40-6,esprima.js~146330-146342:36-6,8993,384,128,Parser.parseStatement,Parser.parseBlock,benchmarks/esprima.js~147040:5487949-5487965,
esprima.js~145771-145794:44-6,esprima.js~147914-147919:2-2,797,232,29,Parser.parseNewExpression,assert,benchmarks/esprima.js~145774:5430530-5430603,
esprima.js~149055-149095:41-6,<builtin>~1-1:1-1,1689,307,9,Scanner.scanRegExpBody,String.prototype.substr,benchmarks/esprima.js~149094:5572573-5572601,
esprima.js~145410-145442:48-6,esprima.js~144981-144983:37-6,984,196,55,Parser.parseObjectPropertyKey,Parser.getTokenRaw,benchmarks/esprima.js~145420:5415319-5415341,
esprima.js~194433-194435:5-5,esprima.js~186121-186135:5-5,77,26,79,toString,baseToString,benchmarks/esprima.js~194434:7407620-7407638,
esprima.js~188016-188036:5-5,esprima.js~186352-186357:5-5,94,161,55,hasPath,castPath,benchmarks/esprima.js~188017:7208811-7208832,
