SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
<builtin>~1-1:1-1,lodash.templateSources[58]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[32]~1-21:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~378581-378595:3-3,jshint.js~378601-378629:3-3,2154,140,94,_checkForUnused,_checkParams,benchmarks/jshint.js~378585:16073539-16073552,
jshint.js~375250-375256:12-5,jshint.js~375401-375405:17-5,46267,64,36,check,:anonymous,benchmarks/jshint.js~375252:15675598-15675613,
jshint.js~372710-372932:20-3,<builtin>~1-1:1-1,12,1625,42,:anonymous,Array.prototype.push,benchmarks/jshint.js~372797:15602919-15602938,
jshint.js~180408-180423:5-5,jshint.js~188445-188461:14-7,2,125,163,clone,:anonymous,benchmarks/jshint.js~180410:6962148-6962175,
jshint.js~184960-184967:5-5,jshint.js~188430-188432:5-5,166,66,24,baseGetTag,objectToString,benchmarks/jshint.js~184966:7105564-7105584,
jshint.js~184511-184591:5-5,jshint.js~182388-182398:3-3,48,499,59,baseClone,arrayEach,benchmarks/jshint.js~184582-184589:7092653-7092971,
jshint.js~369634-369648:13-5,jshint.js~369444-369448:3-3,6861,130,61,x.led,nobreaknonadjacent,benchmarks/jshint.js~369636:15513062-15513117,
jshint.js~372935-372956:17-3,jshint.js~369450-369455:3-3,54,174,50,:anonymous,nolinebreak,benchmarks/jshint.js~372939:15607194-15607210,
jshint.js~370597-370612:14-3,jshint.js~369351-369435:3-3,318,112,791,:anonymous,expression,benchmarks/jshint.js~370600:15538594-15538608,
jshint.js~368881-368883:3-3,jshint.js~368827-368872:3-3,6,36,379,error,warning,benchmarks/jshint.js~368882:15494196-15494220,
jshint.js~370510-370528:18-3,jshint.js~369720-369735:3-3,746,161,127,:anonymous,isTypoTypeof,benchmarks/jshint.js~370522:15536360-15536391,
jshint.js~373426-373465:25-3,jshint.js~369209-369238:3-3,3287,258,104,lookupBlockType,peek,benchmarks/jshint.js~373437:15622045-15622055,
jshint.js~378484-379362:20-1,<builtin>~1-1:1-1,17,334,68,scopeManager,Object.create,benchmarks/jshint.js~378507:16071719-16071737,
jshint.js~373917-373921:11-7,<builtin>~1-1:1-1,102,59,9,on,String.prototype.split,benchmarks/jshint.js~373918:15636142-15636157,
jshint.js~376503-376695:15-3,jshint.js~376514-376545:31-5,36,687,86,scanRegExp,scanUnexpectedChars,benchmarks/jshint.js~376591:15708815-15708835,
jshint.js~180709-180771:7-7,jshint.js~180825-180828:7-7,7,466,93,createCompiled,interpolate,benchmarks/jshint.js~180767:6975278-6975301,
jshint.js~369469-369523:3-3,jshint.js~369457-369467:3-3,18,320,72,parseComma,nobreakcomma,benchmarks/jshint.js~369476:15509866-15509915,
jshint.js~372985-373006:18-3,jshint.js~369440-369442:3-3,2382,167,28,:anonymous,startLine,benchmarks/jshint.js~372986:15608396-15608423,
<builtin>~1-1:1-1,lodash.templateSources[57]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,jshint.js~370537-370550:18-3,246,27,113,Function.prototype.apply,:anonymous,<builtin>~1:0,
jshint.js~370193-370326:3-3,jshint.js~378727-378914:14-5,1260,1131,1795,block,unstack,benchmarks/jshint.js~370301:15530985-15531016,
jshint.js~184362-184368:5-5,<builtin>~1-1:1-1,1184,86,12,assignValue,Function.prototype.call,benchmarks/jshint.js~184364:7085767-7085798,
<builtin>~1-1:1-1,lodash.templateSources[51]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~373790-374041:16-3,jshint.js~378484-379362:20-1,17,1344,334,itself,scopeManager,benchmarks/jshint.js~373868:15634900-15634950,
<builtin>~1-1:1-1,lodash.templateSources[87]~1-21:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,/\{([^{}]*)\}/g~1-1:1-15,497,93,11,RegExp.prototype.exec,regex TRegex fwd: /\{([^{}]*)\}/g,<builtin>~1:0,
jshint.js~373967-373969:26-5,jshint.js~30116-30169:31-1,39453,25,381,:anonymous,EventEmitter.emit,benchmarks/jshint.js~373968:15637451-15637480,
jshint.js~180930-181003:7-7,jshint.js~180884-180894:7-7,2,448,94,evaluate,enqueue,benchmarks/jshint.js~180999:6983405-6983413,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,2602,30,15,RegExp.prototype.[Symbol.match],RegExp.prototype.get global,<builtin>~1:0,
jshint.js~184171-184174:5-5,jshint.js~184171-184174:5-5,20,8,55,Stack,Stack,benchmarks/jshint.js~184171-184174:7079831-7079947,
jshint.js~372710-372932:20-3,jshint.js~369251-369308:3-3,168,1555,555,:anonymous,advance,benchmarks/jshint.js~372879:15605638-15605651,
jshint.js~375775-375914:19-3,jshint.js~375866-375870:5-5,37176,273,42,scanIdentifier,removeEscapeSequences,benchmarks/jshint.js~375888:15690800-15690824,
jshint.js~185332-185334:5-5,jshint.js~193648-193650:5-5,48,35,25,baseIsSet,isObjectLike,benchmarks/jshint.js~185333:7118371-7118389,
<function>~1-7:2-1,<builtin>~1-1:1-1,1,139,6,anonymous,Date.now,<function>~5:487-507,
jshint.js~376754-376822:13-3,<builtin>~1-1:1-1,30928,382,18,nextLine,String.prototype.replace,benchmarks/jshint.js~376798:15713679-15713714,
jshint.js~370155-370180:3-3,jshint.js~369240-369247:3-3,6,146,28,directives,peekIgnoreEOL,benchmarks/jshint.js~370158:15527125-15527139,
jshint.js~372540-372552:22-3,jshint.js~370193-370326:3-3,210,178,921,:anonymous,block,benchmarks/jshint.js~372548:15595893-15595909,
jshint.js~193208-193210:5-5,jshint.js~193523-193531:5-5,2,42,61,isArrayLike,isFunction,benchmarks/jshint.js~193209:7374897-7374913,
