SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
<builtin>~1-1:1-1,lebab.js~387162-387162:55-96,1220,29,31,Function.prototype.apply,An.isMatch,<builtin>~1:0,
<builtin>~1-1:1-1,lebab.js~180217-180224:20-9,1,12,61,Function.prototype.call,onCycle,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[35]~1-13:2-1,1,29,11,Function.prototype.apply,anonymous,<builtin>~1:0,
lebab.js~393935-393941:16-9,lebab.js~154817-154831:16-9,75,75,136,UpdateExpression,__referencing,benchmarks/lebab.js~393937:16662190-16662267,
lebab.js~390180-390182:37-3,lebab.js~390864-390866:12-5,1194,18,15,:anonymous,getGroup,benchmarks/lebab.js~390181:16494459-16494470,
lebab.js~63149-63174:25-1,lebab.js~62041-62048:10-1,550,188,33,pp$2.parseBindingList,pp.eat,benchmarks/lebab.js~63153:1988667-1988681,
<builtin>~1-1:1-1,lebab.js~386976-386984:12-5,19830,12,41,Function.prototype.call,leave,<builtin>~1:0,
lebab.js~387112-387112:13-194,lebab.js~387180-387180:108-354,624,99,107,$e,Un.clone,benchmarks/lebab.js~387112:16367334-16367342,
lebab.js~152522-152714:19-1,lebab.js~152383-152392:15-1,23424,555,44,FPp.needsParens,getName,benchmarks/lebab.js~152537:5674444-5674457,
lebab.js~35121-35216:37-5,lebab.js~35110-35115:5-5,46914,519,29,traverse,isNode,benchmarks/lebab.js~35210:1073323-1073339,
lebab.js~180243-180263:5-5,lebab.js~191217-191220:5-5,10,230,38,emit,forEach,benchmarks/lebab.js~180255-180260:6957716-6957926,
<builtin>~1-1:1-1,lebab.js~379781-379783:34-9,58,32,26,Array.prototype.forEach,:anonymous,<builtin>~1:0,
lebab.js~180604-180860:5-5,<builtin>~1-1:1-1,1,300,29,clock,Function.prototype.apply,benchmarks/lebab.js~180859:6978635-6978662,
<builtin>~1-1:1-1,lebab.js~34116-34120:3-3,492,32,30,Array.prototype.forEach,appendWithSeparator,<builtin>~1:0,
lebab.js~384970-386421:1-1,lebab.js~18092-18097:24-17,444,6114,67,genericPrintNoParens,value,benchmarks/lebab.js~385619:16291840-16291880,
lebab.js~62223-62286:23-1,lebab.js~62204-62214:24-1,975,583,119,pp$1.parseStatement,pp$1.isAsyncFunction,benchmarks/lebab.js~62275:1958933-1958954,
lebab.js~394074-394076:16-9,lebab.js~393721-393771:16-9,20,22,313,FunctionExpression,visitFunction,benchmarks/lebab.js~394075:16666730-16666753,
lebab.js~393746-393750:84-17,lebab.js~393704-393709:16-9,380,71,45,:anonymous,referencingDefaultValue,benchmarks/lebab.js~393749:16654442-16654510,
lebab.js~391991-391993:16-9,lebab.js~391961-391968:16-9,5,39,70,__nestCatchScope,__nestScope,benchmarks/lebab.js~391992:16578566-16578637,
lebab.js~387091-387091:208-287,<builtin>~1-1:1-1,301943,63,11,Ur,Array,benchmarks/lebab.js~387091:16356519-16356523,
lebab.js~184362-184368:5-5,lebab.js~184441-184452:5-5,1085,80,72,assignValue,baseAssignValue,benchmarks/lebab.js~184366:7085890-7085924,
lebab.js~180825-180828:7-7,lodash.templateSources[33]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/lebab.js~180827:6977092-6977168,
lebab.js~387077-387079:97-240,lebab.js~7620-7628:38-3,25818,704,70,Mt,matches,benchmarks/lebab.js~387078:16349832-16349845,
lebab.js~180825-180828:7-7,lodash.templateSources[41]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/lebab.js~180827:6977092-6977168,
lebab.js~180507-180545:31-9,<builtin>~1-1:1-1,2,257,62,:anonymous,Array.prototype.slice,benchmarks/lebab.js~180526:6965955-6965986,
lebab.js~33732-33749:33-1,<builtin>~1-1:1-1,13605,137,9,Lp.isPrecededOnlyByWhitespace,Math.min,benchmarks/lebab.js~33745:1032809-1032845,
