SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
postcss.js~408063-408067:5-5,postcss.js~408052-408052:1-153,2,45,42,ColorAdjust,_classCallCheck,benchmarks/postcss.js~408064:17598739-17598772,
postcss.js~207338-207386:12-5,postcss.js~207236-207238:1-1,2,261,23,allocate,setBit,benchmarks/postcss.js~207351:7785999-7786022,
postcss.js~398211-398237:35-5,postcss.js~398610-398614:32-5,18,334,87,combinator,content,benchmarks/postcss.js~398222:16956700-16956713,
postcss.js~156161-156388:5-5,<builtin>~1-1:1-1,7,1513,22,nextToken,RegExp.prototype.test,benchmarks/postcss.js~156325:5865433-5865472,
postcss.js~402837-403018:37-5,<builtin>~1-1:1-1,4,1771,16,preprocess,Array.isArray,benchmarks/postcss.js~402904:17417147-17417171,
postcss.js~184274-184299:5-5,<builtin>~1-1:1-1,4,237,42,arrayLikeKeys,%ForInIteratorPrototype%.next,benchmarks/postcss.js~184283-184297:7083015-7083706,
postcss.js~408063-408067:5-5,postcss.js~408054-408054:1-240,2,45,40,ColorAdjust,_possibleConstructorReturn,benchmarks/postcss.js~408066:17598791-17598859,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,1,27,29,Function.prototype.apply,Function,<builtin>~1:0,
postcss.js~408052-408052:1-153,<builtin>~1-1:1-1,2,42,18,_classCallCheck,Function.prototype.[Symbol.hasInstance],benchmarks/postcss.js~408052:17597733-17597765,
postcss.js~406635-406639:5-5,postcss.js~406624-406624:1-153,2,45,42,WritingMode,_classCallCheck,benchmarks/postcss.js~406636:17543132-17543165,
<builtin>~1-1:1-1,/^dead$/i~1-1:1-9,18,96,16,RegExp.prototype.exec,regex literal:equals(dead): /^dead$/i,<builtin>~1:0,
postcss.js~404684-404691:32-5,<builtin>~1-1:1-1,48,57,17,parse,String.prototype.trim,benchmarks/postcss.js~404690:17473790-17473800,
postcss.js~188064-188068:5-5,postcss.js~183074-183076:12-5,52,42,23,initCloneObject,:anonymous,benchmarks/postcss.js~188066:7210236-7210255,
postcss.js~404552-404579:40-5,postcss.js~82470-82473:26-5,5225,94,39,reduceSpaces,raw,benchmarks/postcss.js~404562:17470129-17470146,
postcss.js~180825-180828:7-7,<builtin>~1-1:1-1,99,67,96,interpolate,RegExp.prototype.exec,benchmarks/postcss.js~180827:6977125-6977152,
<builtin>~1-1:1-1,lodash.templateSources[90]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
postcss.js~402786-402788:41-13,postcss.js~31121-31133:33-5,43209,24,174,all,prefix,benchmarks/postcss.js~402787:17413047-17413070,
postcss.js~402837-403018:37-5,<builtin>~1-1:1-1,147,1771,16,preprocess,Array.isArray,benchmarks/postcss.js~402943:17418886-17418910,
postcss.js~196740-196743:28-7,lodash.templateSources[34]~1-13:1-2,1,51,10,result,:program,benchmarks/postcss.js~196741:7480055-7480107,
postcss.js~402837-403018:37-5,postcss.js~408815-408823:31-5,6,1783,81,preprocess,old,benchmarks/postcss.js~402941:17418759-17418778,
postcss.js~398493-398542:30-5,postcss.js~398290-398298:32-5,36,243,120,parse,nesting,benchmarks/postcss.js~398528:16968183-16968196,
postcss.js~404396-404455:30-9,postcss.js~83361-83375:39-5,247,443,183,:anonymous,removeChild,benchmarks/postcss.js~404451:17466773-17466791,
<builtin>~1-1:1-1,postcss.js~403562-403565:32-9,1817,56,53,Array.prototype.filter,params,<builtin>~1:0,
postcss.js~407296-407300:5-5,<builtin>~1-1:1-1,2,45,26,FlexDirection,Function.prototype.apply,benchmarks/postcss.js~407299:17568773-17568807,
postcss.js~406232-406236:5-5,postcss.js~406220-406220:1-153,1,45,42,FlexBasis,_classCallCheck,benchmarks/postcss.js~406233:17528375-17528406,
postcss.js~404684-404691:32-5,<builtin>~1-1:1-1,48,44,24,parse,String.prototype.split,benchmarks/postcss.js~404685:17473656-17473669,
postcss.js~85023-85029:32-5,<builtin>~1-1:1-1,278670,50,18,check,String.prototype.indexOf,benchmarks/postcss.js~85024:2763138-2763169,
postcss.js~180825-180828:7-7,lodash.templateSources[50]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/postcss.js~180827:6977092-6977168,
postcss.js~406232-406236:5-5,postcss.js~406232-406236:5-5,1,8,45,FlexBasis,FlexBasis,benchmarks/postcss.js~406232-406236:17528344-17528500,
postcss.js~408857-408861:5-5,<builtin>~1-1:1-1,3,45,27,ImageSet,Function.prototype.apply,benchmarks/postcss.js~408860:17625393-17625421,
postcss.js~398441-398473:25-9,postcss.js~398618-398620:14-9,126,194,25,:anonymous,get,benchmarks/postcss.js~398448:16965565-16965580,
