SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
prepack.js~28921-28971:74-3,prepack.js~330-337:1-1,46,251,50,:=>,invariant,benchmarks/prepack.js~28922:891883-891945,
prepack.js~467703-467926:19-1,prepack.js~113-115:8-3,5,136,22,exports.default,get,benchmarks/prepack.js~467704:19616794-19616811,
prepack.js~29458-29497:18-3,prepack.js~85780-85785:80-7,112746,199,104,get,:anonymous,benchmarks/prepack.js~29474:912190-912212,
prepack.js~455225-455292:3-3,prepack.js~4051-4104:3-3,220,624,245,PutValue,SetMutableBinding,benchmarks/prepack.js~455288:19166747-19166840,
prepack.js~414092-414097:33-3,prepack.js~414300-414303:43-3,2670,69,45,semicolon,_maybeAddAuxComment,benchmarks/prepack.js~414095:17797457-17797482,
prepack.js~457580-457846:1-1,prepack.js~278-280:8-3,5,5758,22,initialize,get,benchmarks/prepack.js~457606:19252716-19252733,
prepack.js~4941-4962:3-3,<builtin>~1-1:1-1,5,394,30,executeSources,Array.prototype.values,benchmarks/prepack.js~4948-4953:154672-154842,
prepack.js~39009-39168:1-1,prepack.js~38892-38908:1-1,15,853,100,ForInOfBodyEvaluation,LoopContinues,benchmarks/prepack.js~39154:1206268-1206305,
prepack.js~410448-410538:3-3,prepack.js~330-337:1-1,6,1038,50,init,invariant,benchmarks/prepack.js~410478:17678291-17678346,
prepack.js~170791-171333:1-1,prepack.js~170791-171333:1-1,60,6,135,AbstractObjectValue,AbstractObjectValue,benchmarks/prepack.js~170791-171333:6480762-6501694,
prepack.js~28921-28971:74-3,prepack.js~330-337:1-1,46,251,50,:=>,invariant,benchmarks/prepack.js~28951:893008-893077,
prepack.js~37883-37918:3-3,prepack.js~330-337:1-1,624,416,50,_recordBindingVisitedAndRevisit,invariant,benchmarks/prepack.js~37888:1153801-1153841,
prepack.js~418700-418715:1-1,prepack.js~414116-414123:28-3,6,105,62,SwitchCase,word,benchmarks/prepack.js~418702:17918001-17918017,
prepack.js~418039-418045:1-1,prepack.js~914-916:27-5,1080,97,30,ConditionalExpression,:anonymous,benchmarks/prepack.js~418040:17901305-17901331,
prepack.js~38132-38146:3-3,prepack.js~16038-16069:1-1,648,180,202,visitEquivalentValue,isReactElement,benchmarks/prepack.js~38139:1164565-1164596,
prepack.js~166066-166227:23-1,prepack.js~166054-166056:1-1,24180,1056,24,pp$6.processComment,last,benchmarks/prepack.js~166095:6333859-6333869,
prepack.js~26609-26619:1-1,<builtin>~1-1:1-1,5230,68,16,getType,Array.isArray,benchmarks/prepack.js~26610:819276-819293,
prepack.js~28921-28971:74-3,prepack.js~410765-410768:14-9,46,251,49,:=>,get,benchmarks/prepack.js~28944:892742-892756,
prepack.js~180825-180828:7-7,lodash.templateSources[51]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/prepack.js~180827:6977092-6977168,
prepack.js~162609-162716:42-3,prepack.js~162456-162464:37-3,1660,990,110,getTokenFromCode,finishToken,benchmarks/prepack.js~162623:6222767-6222794,
prepack.js~423948-423948:10-94,prepack.js~85773-85777:17-5,2568,47,78,Map,C,benchmarks/prepack.js~423948:18080452-18080509,
prepack.js~162609-162716:42-3,prepack.js~162530-162537:44-3,660,990,149,getTokenFromCode,readToken_pipe_amp,benchmarks/prepack.js~162692:6225134-6225162,
prepack.js~171978-172066:35-7,prepack.js~330-337:1-1,282,982,50,naiveProcessInstances,invariant,benchmarks/prepack.js~172063:6532717-6532771,
prepack.js~180825-180828:7-7,lodash.templateSources[49]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/prepack.js~180827:6977092-6977168,
prepack.js~414256-414298:29-3,<builtin>~1-1:1-1,29622,344,44,print,Array.prototype.push,benchmarks/prepack.js~414271:17802146-17802172,
prepack.js~410170-410223:1-1,prepack.js~410448-410538:3-3,5,602,1235,prepackSources,init,benchmarks/prepack.js~410190:17667212-17667255,
prepack.js~435547-435685:1-1,prepack.js~435833-435841:1-1,53,1053,53,explode,shouldIgnoreKey,benchmarks/prepack.js~435679:18458191-18458217,
prepack.js~180825-180828:7-7,lodash.templateSources[88]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/prepack.js~180827:6977092-6977168,
prepack.js~165856-165871:22-1,prepack.js~162264-162271:29-3,10,118,55,pp$3.parseExprList,eat,benchmarks/prepack.js~165865:6326437-6326451,
prepack.js~38505-38519:10-3,prepack.js~287-289:8-3,7176,84,22,isLeaf,get,benchmarks/prepack.js~38510:1181197-1181217,
prepack.js~456052-456157:3-3,prepack.js~20430-20438:1-1,6,504,67,ToPropertyDescriptor,HasProperty,benchmarks/prepack.js~456130:19199274-19199313,
prepack.js~418963-418981:1-1,prepack.js~414106-414114:29-3,390,127,85,FunctionExpression,space,benchmarks/prepack.js~418975:17923651-17923662,
prepack.js~38148-38192:3-3,prepack.js~38117-38119:3-3,588,624,26,visitValue,preProcessValue,benchmarks/prepack.js~38161:1165600-1165624,
prepack.js~169962-170598:1-1,prepack.js~330-337:1-1,60,383,50,AbstractValue,invariant,benchmarks/prepack.js~169968:6449831-6449937,
prepack.js~22065-22105:1-1,prepack.js~330-337:1-1,488,275,50,MakeConstructor,invariant,benchmarks/prepack.js~22070:671258-671347,
prepack.js~453395-453413:1-1,prepack.js~453395-453413:1-1,5,8,7,HavocImplementation,HavocImplementation,benchmarks/prepack.js~453395-453413:19081612-19082506,
prepack.js~425376-425392:1-1,prepack.js~29553-29556:30-3,864,122,50,_replaceWith,debug,benchmarks/prepack.js~425387-425389:18145774-18145852,
prepack.js~463555-464559:19-1,prepack.js~410977-410989:3-3,5,1064,227,exports.default,defineNativeMethod,benchmarks/prepack.js~464532-464538:19511540-19511771,
prepack.js~38033-38096:3-3,prepack.js~38148-38192:3-3,6,352,660,visitValueObject,visitValue,benchmarks/prepack.js~38043:1161471-1161498,
prepack.js~195182-195184:5-5,prepack.js~185379-185390:5-5,119,41,147,keys,baseKeys,benchmarks/prepack.js~195183:7430071-7430086,
prepack.js~26522-26524:104-1,prepack.js~26518-26518:98-134,2641,24,12,exports.default,_typeof,benchmarks/prepack.js~26523:816825-816836,
prepack.js~171840-171864:26-5,prepack.js~1001-1038:3-3,6,330,363,defineFunction,builder,benchmarks/prepack.js~171862:6522618-6522701,
prepack.js~457860-458264:19-1,prepack.js~410977-410989:3-3,5,445,227,exports.default,defineNativeMethod,benchmarks/prepack.js~458115-458118:19275975-19276171,
prepack.js~88128-88155:3-3,prepack.js~330-337:1-1,150,344,50,referentialize,invariant,benchmarks/prepack.js~88148:2868796-2868852,
prepack.js~466223-466392:19-1,prepack.js~410977-410989:3-3,5,133,227,exports.default,defineNativeMethod,benchmarks/prepack.js~466311-466343:19570606-19571878,
prepack.js~456312-456340:3-3,<builtin>~1-1:1-1,470,333,13,ToNumberOrAbstract,Number,benchmarks/prepack.js~456334:19206297-19206313,
prepack.js~171708-172264:1-1,<builtin>~1-1:1-1,6,440,29,ResidualFunctions,Map.prototype.values,benchmarks/prepack.js~171728:6516796-6516829,
prepack.js~87474-87616:28-3,prepack.js~87331-87333:31-3,72,1184,34,_crawl,addGlobal,benchmarks/prepack.js~87572:2846630-2846663,
prepack.js~37883-37918:3-3,<builtin>~1-1:1-1,2760,529,30,_recordBindingVisitedAndRevisit,Array.prototype.values,benchmarks/prepack.js~37897-37907:1154293-1154769,
prepack.js~452269-452330:3-3,prepack.js~182-184:8-3,6,424,22,FunctionInitialize,get,benchmarks/prepack.js~452297:19038614-19038634,
prepack.js~1063-1074:1-1,prepack.js~26654-26680:3-3,4559,121,186,validate,validate,benchmarks/prepack.js~1073:31449-31478,
prepack.js~450787-450807:3-3,<builtin>~1-1:1-1,46,187,18,InitializeReferencedBinding,Function.prototype.[Symbol.hasInstance],benchmarks/prepack.js~450801:18979577-18979622,
prepack.js~178735-178783:18-1,<builtin>~1-1:1-1,2,287,9,module.exports,String.prototype.slice,benchmarks/prepack.js~178778:6911739-6911773,
prepack.js~4005-4028:3-3,prepack.js~330-337:1-1,28,200,50,CreateImmutableBinding,invariant,benchmarks/prepack.js~4006:123824-123861,
prepack.js~180825-180828:7-7,lodash.templateSources[46]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/prepack.js~180827:6977092-6977168,
prepack.js~37413-37459:1-1,<builtin>~1-1:1-1,60,561,56,createAbstract,Array.prototype.slice,benchmarks/prepack.js~37423:1136430-1136455,
prepack.js~5089-5100:3-3,prepack.js~173048-173164:19-1,5,158,581,evaluateAbstract,exports.default,benchmarks/prepack.js~5095:159791-159844,
prepack.js~418549-418572:1-1,prepack.js~414106-414114:29-3,84,201,141,ForStatement,space,benchmarks/prepack.js~418560:17914836-17914847,
prepack.js~165660-165679:26-1,prepack.js~165637-165644:31-1,125,161,132,pp$3.parseObjectMethod,pp$3.isGetterOrSetterMethod,benchmarks/prepack.js~165670:6319892-6319935,
prepack.js~22117-22133:1-1,prepack.js~330-337:1-1,10,134,50,Construct,invariant,benchmarks/prepack.js~22128:673616-673705,
prepack.js~415554-415556:1-1,prepack.js~766-768:8-3,53952,57,11,isBlockScoped,get,benchmarks/prepack.js~415555:17837707-17837713,
prepack.js~88010-88034:3-3,prepack.js~1001-1038:3-3,6,489,356,createCaptureScopeAccessFunction,builder,benchmarks/prepack.js~88025:2862362-2862462,
prepack.js~454895-455111:3-3,<builtin>~1-1:1-1,60,1879,39,ValidateAndApplyPropertyDescriptor,%ForInIteratorPrototype%.next,benchmarks/prepack.js~455105:19159464-19159516,
prepack.js~454533-454712:3-3,prepack.js~410619-410621:3-3,25,903,38,OrdinarySet,mightHaveBeenDeleted,benchmarks/prepack.js~454557:19133721-19133755,
prepack.js~452364-452366:3-3,prepack.js~451620-451676:1-1,159,31,661,$Call,InternalCall,benchmarks/prepack.js~452365:19041272-19041320,
prepack.js~457580-457846:1-1,prepack.js~469413-469432:19-1,5,5758,45,initialize,exports.default,benchmarks/prepack.js~457836:19265240-19265279,
prepack.js~415213-415220:19-3,prepack.js~415166-415178:1-1,372,51,129,CallExpression,isHelper,benchmarks/prepack.js~415214:17828918-17828931,
prepack.js~179017-179020:12-3,<builtin>~1-1:1-1,6,84,19,onCycle,Date.prototype.[Symbol.toPrimitive],benchmarks/prepack.js~179018:6918046-6918067,
prepack.js~472312-472368:19-1,prepack.js~22065-22105:1-1,420,357,275,exports.default,MakeConstructor,benchmarks/prepack.js~472360:19777587-19777627,
prepack.js~451620-451676:1-1,prepack.js~330-337:1-1,159,661,50,InternalCall,invariant,benchmarks/prepack.js~451647:19011166-19011287,
prepack.js~140-142:8-3,prepack.js~307-307:1-95,2625,22,24,get,_interopRequireDefault,benchmarks/prepack.js~141:4133-4186,
prepack.js~172924-172977:1-1,prepack.js~17261-17274:1-1,6,508,180,evaluate,UpdateEmpty,benchmarks/prepack.js~172945:6566109-6566183,
prepack.js~414997-415007:28-3,<builtin>~1-1:1-1,4662,125,22,queue,RegExp.prototype.test,benchmarks/prepack.js~414998:17822444-17822476,
prepack.js~461501-462295:19-1,prepack.js~410977-410989:3-3,5,800,227,exports.default,defineNativeMethod,benchmarks/prepack.js~462176-462193:19422373-19422919,
prepack.js~445452-445489:1-1,prepack.js~445452-445489:1-1,61,6,60,SymbolValue,SymbolValue,benchmarks/prepack.js~445452-445489:18776247-18777109,
prepack.js~88010-88034:3-3,prepack.js~1001-1038:3-3,6,447,355,createCaptureScopeAccessFunction,builder,benchmarks/prepack.js~88022:2862192-2862274,
prepack.js~464759-464924:19-1,prepack.js~410977-410989:3-3,5,183,227,exports.default,defineNativeMethod,benchmarks/prepack.js~464920-464923:19525488-19525648,
prepack.js~171708-172264:1-1,prepack.js~330-337:1-1,282,465,50,ResidualFunctions,invariant,benchmarks/prepack.js~171729:6516840-6516887,
prepack.js~160557-160560:1-1,prepack.js~415185-415193:25-3,1056,50,46,find,AssignmentExpression,benchmarks/prepack.js~160559:6148032-6148059,
prepack.js~28852-28858:1-1,prepack.js~113-115:8-3,61,77,22,IteratorValue,get,benchmarks/prepack.js~28854:889564-889581,
prepack.js~451620-451676:1-1,prepack.js~2997-3012:3-3,6,667,132,InternalCall,onDestroyScope,benchmarks/prepack.js~451658:19011869-19011899,
prepack.js~471882-471929:19-1,prepack.js~38935-39006:1-1,5,472,474,exports.default,ForInOfHeadEvaluation,benchmarks/prepack.js~471894:19757129-19757218,
prepack.js~188445-188461:14-7,<builtin>~1-1:1-1,275,163,10,:anonymous,Math.max,benchmarks/prepack.js~188448:7222664-7222696,
prepack.js~410421-410431:74-5,prepack.js~29144-29164:1-1,5,71,264,:=>,traverse,benchmarks/prepack.js~410425-410430:17676145-17676305,
prepack.js~88645-88657:3-3,prepack.js~88659-88732:3-3,30,97,874,_emitProperty,emitDefinePropertyBody,benchmarks/prepack.js~88655:2891707-2891797,
prepack.js~435687-435718:1-1,<builtin>~1-1:1-1,31,270,38,verify,%ForInIteratorPrototype%.next,benchmarks/prepack.js~435694-435715:18458476-18459268,
prepack.js~159181-159192:3-3,prepack.js~445428-445430:3-3,42,99,13,serialize,_serialize,benchmarks/prepack.js~159190:6106599-6106625,
