SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
prettier.js~175290-175290:65813-66020,prettier.js~175290-175290:138866-139040,19017,102,113,i.parseExprSubscripts,i.parseExprAtom,benchmarks/prettier.js~175290:6712068-6712088,
prettier.js~488666-491303:1-1,prettier.js~479781-479790:1-1,1296,13107,64,genericPrintNoParens,group,benchmarks/prettier.js~489851-489856:20382549-20382705,
prettier.js~488666-491303:1-1,prettier.js~479769-479771:1-1,6,14276,24,genericPrintNoParens,concat$1,benchmarks/prettier.js~490023:20386861-20386875,
prettier.js~180825-180828:7-7,lodash.templateSources[63]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/prettier.js~180827:6977092-6977168,
prettier.js~188445-188461:14-7,<builtin>~1-1:1-1,275,163,10,:anonymous,Math.max,benchmarks/prettier.js~188448:7222664-7222696,
prettier.js~175290-175290:37111-38896,prettier.js~175290-175290:43936-44555,5,847,476,i.parseStatementContent,i.parseTryStatement,benchmarks/prettier.js~175290:6683961-6683985,
prettier.js~482210-482235:28-1,<builtin>~1-1:1-1,8004,194,8,map,Array,benchmarks/prettier.js~482222:20151398-20151420,
prettier.js~186794-186807:14-7,<builtin>~1-1:1-1,12,97,9,:anonymous,Object,benchmarks/prettier.js~186796:7166255-7166268,
prettier.js~182848-182856:3-3,<builtin>~1-1:1-1,2,52,11,baseTimes,Array,benchmarks/prettier.js~182850:7039983-7039990,
prettier.js~480520-480570:1-1,prettier.js~480520-480570:1-1,2226,217,217,startsWithNoLookaheadToken,startsWithNoLookaheadToken,benchmarks/prettier.js~480532:20101348-20101410,
prettier.js~496385-496401:18-1,prettier.js~496357-496383:227-1,29,165,272,validate,_validate,benchmarks/prettier.js~496386:20564600-20564670,
prettier.js~493059-493069:1-1,prettier.js~493150-493161:1-1,3984,79,59,printAssignmentRight,hasLeadingOwnLineComment,benchmarks/prettier.js~493060:20474549-20474605,
prettier.js~492580-492588:3-3,prettier.js~492580-492588:3-3,558,57,57,recurse,recurse,benchmarks/prettier.js~492582:20459582-20459599,
prettier.js~488666-491303:1-1,prettier.js~482163-482176:29-1,2010,12688,145,genericPrintNoParens,call,benchmarks/prettier.js~489831:20382013-20382046,
prettier.js~492205-492247:3-3,prettier.js~492941-492946:1-1,24,239,43,rec,isMemberish,benchmarks/prettier.js~492209:20447953-20447976,
prettier.js~492389-492396:3-3,prettier.js~479769-479771:1-1,12,75,24,printIndentedGroup,concat$1,benchmarks/prettier.js~492394:20453801-20453866,
<builtin>~1-1:1-1,lodash.templateSources[79]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
prettier.js~180825-180828:7-7,lodash.templateSources[52]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/prettier.js~180827:6977092-6977168,
prettier.js~175290-175290:21895-22300,prettier.js~175290-175290:21658-21874,1128,317,148,i.skipBlockComment,i.pushComment,benchmarks/prettier.js~175290:6668378-6668465,
prettier.js~175290-175290:28915-29610,prettier.js~175290-175290:16475-16510,2114,395,42,i.readInt,e.hasPlugin,benchmarks/prettier.js~175290:6675282-6675315,
prettier.js~175290-175290:42463-42657,prettier.js~175290-175290:118392-118597,1171,164,120,i.parseIfStatement,i.parseStatement,benchmarks/prettier.js~175290:6688708-6688730,
prettier.js~175290-175290:43936-44555,prettier.js~175290-175290:20123-20400,5,476,144,i.parseTryStatement,i.next,benchmarks/prettier.js~175290:6690218-6690228,
<builtin>~1-1:1-1,prettier.js~481107-481272:20-3,1368,31,630,Array.prototype.forEach,:=>,<builtin>~1:0,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,38280,30,15,RegExp.prototype.[Symbol.match],RegExp.prototype.get global,<builtin>~1:0,
