SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
source-map.js~151809-151872:3-3,source-map.js~152158-152172:30-1,162462,264,83,SourceMapGenerator_serializeMappings,ArraySet_indexOf,benchmarks/source-map.js~151848:5654888-5654924,
source-map.js~180825-180828:7-7,lodash.templateSources[68]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
<builtin>~1-1:1-1,lodash.templateSources[88]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~152123-152137:26-1,<builtin>~1-1:1-1,26947,109,10,ArraySet_add,Map.prototype.set,benchmarks/source-map.js~152132:5663706-5663729,
<builtin>~1-1:1-1,lodash.templateSources[87]~1-21:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~184511-184591:5-5,source-map.js~185332-185334:5-5,48,405,34,baseClone,baseIsSet,benchmarks/source-map.js~184561:7092081-7092092,
source-map.js~187049-187091:7-7,<builtin>~1-1:1-1,52,283,27,wrapper,Function.prototype.apply,benchmarks/source-map.js~187090:7176697-7176723,
source-map.js~181025-181116:5-5,source-map.js~180610-180702:15-7,2,470,517,cycle,clock,benchmarks/source-map.js~181048:6984739-6984750,
source-map.js~34355-34386:1-1,<builtin>~1-1:1-1,28140,144,17,relative,String.prototype.lastIndexOf,benchmarks/source-map.js~34368:1047499-1047520,
source-map.js~382158-382216:1-1,<builtin>~1-1:1-1,23,367,56,BasicSourceMapConsumer,Array.prototype.map,benchmarks/source-map.js~382204:16185305-16185321,
source-map.js~184274-184299:5-5,source-map.js~182848-182856:3-3,2,237,46,arrayLikeKeys,baseTimes,benchmarks/source-map.js~184280:7082936-7082966,
source-map.js~151876-151887:25-5,source-map.js~34355-34386:1-1,84,107,144,:anonymous,relative,benchmarks/source-map.js~151881:5655992-5656025,
source-map.js~383196-383240:1-1,source-map.js~383166-383170:1-1,197342,125,48,doQuickSort,swap,benchmarks/source-map.js~383232:16220353-16220371,
<builtin>~1-1:1-1,lodash.templateSources[23]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~196740-196743:28-7,lodash.templateSources[82]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~194471-194481:33-5,source-map.js~188275-188280:5-5,65,146,42,assign,isPrototype,benchmarks/source-map.js~194472:7408728-7408746,
source-map.js~196683-196706:36-7,<builtin>~1-1:1-1,123,170,16,:anonymous,String.prototype.slice,benchmarks/source-map.js~196687:7478259-7478285,
source-map.js~194547-194549:39-5,source-map.js~195209-195211:5-5,231,31,28,assignInWith,keysIn,benchmarks/source-map.js~194548:7411068-7411081,
<builtin>~1-1:1-1,lodash.templateSources[82]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~522809-522819:22-5,source-map.js~383576-383582:33-1,24,76,30,:=>,SourceNode_toString,benchmarks/source-map.js~522818:24532680-24532695,
source-map.js~382158-382216:1-1,source-map.js~34179-34187:1-1,23,367,138,BasicSourceMapConsumer,getArg,benchmarks/source-map.js~382165:16183498-16183530,
source-map.js~184948-184951:5-5,<builtin>~1-1:1-1,32,41,16,baseGetAllKeys,Array.isArray,benchmarks/source-map.js~184950:7105039-7105053,
source-map.js~196740-196743:28-7,lodash.templateSources[53]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~383344-383384:36-5,<builtin>~1-1:1-1,161262,217,17,:anonymous,String.prototype.substr,benchmarks/source-map.js~383361-383362:16225113-16225220,
source-map.js~180825-180828:7-7,lodash.templateSources[52]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~179397-179431:5-5,source-map.js~187049-187091:7-7,2,197,283,Benchmark,wrapper,benchmarks/source-map.js~179430:6932050-6932071,
source-map.js~152100-152106:22-1,source-map.js~152123-152137:26-1,12757,59,109,ArraySet_fromArray,ArraySet_add,benchmarks/source-map.js~152103:5662903-5662938,
source-map.js~179456-179464:5-5,source-map.js~191837-191839:25-5,17,104,20,Event,now,benchmarks/source-map.js~179462:6932800-6932806,
<builtin>~1-1:1-1,source-map.js~180225-180228:23-9,1,12,28,Function.prototype.call,onComplete,<builtin>~1:0,
source-map.js~184582-184589:33-7,source-map.js~184511-184591:5-5,321,63,405,:anonymous,baseClone,benchmarks/source-map.js~184588:7092902-7092960,
source-map.js~382158-382216:1-1,<builtin>~1-1:1-1,23,367,56,BasicSourceMapConsumer,Array.prototype.map,benchmarks/source-map.js~382184-382198:16184272-16185000,
source-map.js~151894-151912:3-3,source-map.js~152191-152193:30-1,24,94,23,SourceMapGenerator_toJSON,ArraySet_toArray,benchmarks/source-map.js~151897:5656408-5656430,
source-map.js~186732-186754:23-7,<builtin>~1-1:1-1,198,151,9,:anonymous,Object,benchmarks/source-map.js~186746:7164722-7164735,
source-map.js~191554-191559:5-5,<builtin>~1-1:1-1,6,96,16,reduce,Array.isArray,benchmarks/source-map.js~191555:7321459-7321477,
source-map.js~383313-383422:3-3,<builtin>~1-1:1-1,24,119,33,SourceNode_fromStringWithSourceMap,String.prototype.split,benchmarks/source-map.js~383322:16223431-16223465,
source-map.js~179397-179431:5-5,source-map.js~179733-179748:5-5,2,187,74,Benchmark,setOptions,benchmarks/source-map.js~179424:6931871-6931896,
source-map.js~185379-185390:5-5,<builtin>~1-1:1-1,44,134,12,baseKeys,Function.prototype.call,benchmarks/source-map.js~185385:7119987-7120018,
source-map.js~179397-179431:5-5,<builtin>~1-1:1-1,2,187,18,Benchmark,Function.prototype.[Symbol.hasInstance],benchmarks/source-map.js~179401:6931276-6931303,
source-map.js~194011-194014:5-5,source-map.js~193648-193650:5-5,2,47,23,isString,isObjectLike,benchmarks/source-map.js~194013:7397271-7397289,
<builtin>~1-1:1-1,lodash.templateSources[74]~1-15:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~180945-180945:21-71,<builtin>~1-1:1-1,6,25,8,varOf,Math.pow,benchmarks/source-map.js~180945:6981081-6981096,
<builtin>~1-1:1-1,lodash.templateSources[67]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~382158-382216:1-1,source-map.js~34179-34187:1-1,23,367,138,BasicSourceMapConsumer,getArg,benchmarks/source-map.js~382172:16183907-16183942,
source-map.js~383196-383240:1-1,source-map.js~383196-383240:1-1,197343,125,125,doQuickSort,doQuickSort,benchmarks/source-map.js~383237:16220432-16220469,
<builtin>~1-1:1-1,lodash.templateSources[86]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[32]~1-21:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~180825-180828:7-7,lodash.templateSources[70]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~179909-179951:7-7,source-map.js~179966-179977:7-7,3,169,62,getNext,raiseIndex,benchmarks/source-map.js~179925:6947922-6947933,
source-map.js~184362-184368:5-5,<builtin>~1-1:1-1,1184,78,12,assignValue,Function.prototype.call,benchmarks/source-map.js~184364:7085767-7085798,
source-map.js~186352-186357:5-5,source-map.js~188199-188210:5-5,94,43,112,castPath,isKey,benchmarks/source-map.js~186356:7151461-7151480,
source-map.js~383324-383334:25-5,source-map.js~383330-383333:7-7,2490,27,28,shiftNextLine,getNextLine,benchmarks/source-map.js~383327:16223657-16223669,
source-map.js~196740-196743:28-7,lodash.templateSources[48]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~180225-180228:23-9,source-map.js~180243-180263:5-5,1,28,222,onComplete,emit,benchmarks/source-map.js~180227:6956808-6956824,
source-map.js~183899-183908:5-5,source-map.js~183899-183908:5-5,20,8,56,ListCache,ListCache,benchmarks/source-map.js~183899-183908:7072862-7073111,
source-map.js~180709-180771:7-7,source-map.js~180825-180828:7-7,7,429,75,createCompiled,interpolate,benchmarks/source-map.js~180761:6975096-6975112,
source-map.js~183561-183572:14-7,source-map.js~193619-193622:5-5,30,54,41,:anonymous,isObject,benchmarks/source-map.js~183562:7063806-7063820,
source-map.js~151518-151529:1-1,source-map.js~151518-151529:1-1,23,8,157,SourceMapGenerator,SourceMapGenerator,benchmarks/source-map.js~151518-151529:5643376-5643765,
source-map.js~186794-186807:14-7,source-map.js~195182-195184:5-5,12,89,29,:anonymous,keys,benchmarks/source-map.js~186797:7166291-7166306,
source-map.js~180825-180828:7-7,lodash.templateSources[93]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
source-map.js~382338-382439:3-3,<builtin>~1-1:1-1,144834,519,42,SourceMapConsumer_parseMappings,Array.prototype.push,benchmarks/source-map.js~382427:16192442-16192472,
source-map.js~151571-151585:40-5,source-map.js~34355-34386:1-1,84,83,144,:anonymous,relative,benchmarks/source-map.js~151574:5645036-5645072,
source-map.js~382016-382027:18-5,source-map.js~152179-152184:25-1,249324,142,60,:anonymous,ArraySet_at,benchmarks/source-map.js~382025:16177914-16177941,
source-map.js~382207-382209:55-3,source-map.js~34602-34648:1-1,185,24,122,this._absoluteSources,computeSourceURL,benchmarks/source-map.js~382208:16185465-16185515,
source-map.js~383344-383384:36-5,<builtin>~1-1:1-1,1194,193,17,:anonymous,String.prototype.substr,benchmarks/source-map.js~383380:16225963-16226002,
source-map.js~180709-180771:7-7,<function>~1-4:1-2,1,431,10,createCompiled,:program,benchmarks/source-map.js~180760-180763:6975070-6975200,
source-map.js~193208-193210:5-5,source-map.js~193589-193592:5-5,417,34,30,isArrayLike,isLength,benchmarks/source-map.js~193209:7374870-7374891,
source-map.js~382158-382216:1-1,source-map.js~382158-382216:1-1,23,8,367,BasicSourceMapConsumer,BasicSourceMapConsumer,benchmarks/source-map.js~382158-382216:16183241-16185684,
source-map.js~180507-180545:31-9,<builtin>~1-1:1-1,6,250,42,:anonymous,Array.prototype.push,benchmarks/source-map.js~180539:6966449-6966505,
<builtin>~1-1:1-1,lodash.templateSources[53]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[31]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~196646-196752:5-5,source-map.js~188445-188461:14-7,77,641,143,template,:anonymous,benchmarks/source-map.js~196658:7477082-7477156,
source-map.js~196740-196743:28-7,lodash.templateSources[38]~1-13:1-2,1,51,10,result,:program,benchmarks/source-map.js~196741:7480055-7480107,
source-map.js~178695-178704:19-1,<builtin>~1-1:1-1,1,116,9,:=>,Number.prototype.toFixed,benchmarks/source-map.js~178702:6909829-6909841,
source-map.js~180825-180828:7-7,source-map.js~196646-196752:5-5,77,75,641,interpolate,template,benchmarks/source-map.js~180827:6977092-6977154,
source-map.js~180408-180423:5-5,source-map.js~188445-188461:14-7,2,93,143,clone,:anonymous,benchmarks/source-map.js~180413:6962242-6962299,
source-map.js~186567-186589:5-5,<builtin>~1-1:1-1,52,146,11,composeArgs,Array,benchmarks/source-map.js~186574:7159163-7159193,
source-map.js~180709-180771:7-7,<builtin>~1-1:1-1,7,429,29,createCompiled,Function,benchmarks/source-map.js~180766-180770:6975252-6975445,
source-map.js~188445-188461:14-7,<builtin>~1-1:1-1,275,143,11,:anonymous,Array,benchmarks/source-map.js~188455:7222870-7222885,
source-map.js~194471-194481:33-5,<builtin>~1-1:1-1,417,146,41,assign,%ForInIteratorPrototype%.next,benchmarks/source-map.js~194476-194480:7408854-7408993,
source-map.js~180825-180828:7-7,lodash.templateSources[72]~4-14:8-1,1,75,129,interpolate,:anonymous,benchmarks/source-map.js~180827:6977092-6977168,
<builtin>~1-1:1-1,/(__e\(.*?\)|\b__t\)) \+\n'';/...~1-1:1-31,77,95,18,RegExp.prototype.exec,regex TRegex fwd: /(__e\(.*?\)|\b__t\)) \+\n'';/...,<builtin>~1:0,
source-map.js~194471-194481:33-5,<builtin>~1-1:1-1,352,146,12,assign,Function.prototype.call,benchmarks/source-map.js~194477:7408892-7408923,
source-map.js~382225-382245:53-1,source-map.js~152158-152172:30-1,348,95,83,BasicSourceMapConsumer._findSourceIndex,ArraySet_indexOf,benchmarks/source-map.js~382232:16186183-16186219,
<builtin>~1-1:1-1,lodash.templateSources[63]~1-15:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
source-map.js~182510-182519:3-3,source-map.js~182897-182899:28-5,77,72,24,arrayMap,:anonymous,benchmarks/source-map.js~182516:7029900-7029935,
<builtin>~1-1:1-1,source-map.js~180217-180224:20-9,1,12,61,Function.prototype.call,onCycle,<builtin>~1:0,
source-map.js~180709-180771:7-7,<function>~1-7:1-2,1,431,10,createCompiled,:program,benchmarks/source-map.js~180766-180770:6975252-6975445,
source-map.js~383576-383582:33-1,source-map.js~383479-383495:29-1,24,30,138,SourceNode_toString,SourceNode_walk,benchmarks/source-map.js~383578-383580:16232076-16232126,
<builtin>~1-1:1-1,lodash.templateSources[45]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
