SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
terser.js~529998-530000:48-9,terser.js~529231-529233:17-9,15,49,42,:anonymous,option,benchmarks/terser.js~529999:24833062-24833088,
terser.js~180709-180771:7-7,<function>~1-4:1-2,1,431,10,createCompiled,:program,benchmarks/terser.js~180755-180758:6974914-6975045,
terser.js~531723-531725:29-13,terser.js~531747-531749:26-13,15,55,35,:anonymous,:anonymous,benchmarks/terser.js~531724:24918728-24918766,
terser.js~529253-529288:19-9,terser.js~527044-527239:48-5,5,216,198,compress,:anonymous,benchmarks/terser.js~529265:24800841-24800869,
terser.js~527299-527302:42-5,<builtin>~1-1:1-1,7324,74,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~527300:24722695-24722720,
terser.js~525783-525809:9-9,terser.js~526534-526543:9-9,295,251,54,vardefs,as_symbol,benchmarks/terser.js~525798:24663768-24663786,
terser.js~526119-526176:53-9,terser.js~524874-524876:9-9,255,353,26,object_or_destructuring_,is,benchmarks/terser.js~526137:24676687-24676701,
terser.js~533798-534126:25-9,<builtin>~1-1:1-1,10,3834,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~534000:25033525-25033555,
terser.js~180243-180263:5-5,terser.js~191217-191220:5-5,10,230,38,emit,forEach,benchmarks/terser.js~180255-180260:6957716-6957926,
terser.js~531032-531036:26-13,<builtin>~1-1:1-1,114,60,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~531034:24888950-24888988,
terser.js~533798-534126:25-9,<builtin>~1-1:1-1,10,3834,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~534023:25035008-25035043,
terser.js~533798-534126:25-9,<builtin>~1-1:1-1,10,3834,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~533848:25024506-25024533,
terser.js~530005-530957:9-9,terser.js~530509-530531:13-13,732,190,181,tighten_body,eliminate_spurious_blocks,benchmarks/terser.js~530012:24833671-24833707,
terser.js~524136-524146:17-9,terser.js~527962-527974:41-17,234,87,191,_visit,tw,benchmarks/terser.js~524138-524140:24585184-24585280,
terser.js~180507-180545:31-9,<builtin>~1-1:1-1,2,279,42,:anonymous,Array.prototype.push,benchmarks/terser.js~180537:6966345-6966420,
terser.js~527056-527175:33-9,terser.js~527252-527260:44-5,420,1173,68,tw,:anonymous,benchmarks/terser.js~527060:24712413-24712445,
terser.js~196740-196743:28-7,lodash.templateSources[27]~1-13:1-2,1,51,10,result,:program,benchmarks/terser.js~196741:7480055-7480107,
terser.js~530486-530496:17-17,terser.js~523069-523072:5-5,51,119,48,may_modify,all,benchmarks/terser.js~530491-530495:24860898-24861127,
terser.js~532098-532285:42-13,<builtin>~1-1:1-1,1038,1259,18,before,Function.prototype.[Symbol.hasInstance],benchmarks/terser.js~532119:24938031-24938060,
terser.js~530276-530347:17-17,<builtin>~1-1:1-1,7744,926,19,extract_candidates,Array.prototype.pop,benchmarks/terser.js~530346:24853122-24853136,
terser.js~178735-178783:18-1,<builtin>~1-1:1-1,2,242,8,module.exports,String,benchmarks/terser.js~178751:6911017-6911063,
terser.js~526466-526505:9-9,terser.js~524880-524890:9-9,465,198,114,as_property_name,next,benchmarks/terser.js~526499:24690124-24690129,
terser.js~525252-525265:9-9,terser.js~526771-526785:26-9,15,107,95,for_of,expression,benchmarks/terser.js~525254:24641972-24641987,
<function>~3-3:8-159,<function>~3-3:8-159,150,8,90,AST_Sub,AST_Sub,<function>~3:32-183,
terser.js~531907-531909:29-13,terser.js~531907-531909:29-13,5,36,36,:anonymous,:anonymous,benchmarks/terser.js~531908:24927670-24927703,
<builtin>~1-1:1-1,terser.js~523954-523956:41-17,1857,31,22,Array.prototype.forEach,:anonymous,<builtin>~1:0,
terser.js~196740-196743:28-7,lodash.templateSources[84]~1-13:1-2,1,51,10,result,:program,benchmarks/terser.js~196741:7480055-7480107,
terser.js~181134-181164:5-5,terser.js~181025-181116:5-5,3,192,456,run,cycle,benchmarks/terser.js~181155:6988062-6988082,
terser.js~533798-534126:25-9,terser.js~529231-529233:17-9,10,3834,42,:anonymous,option,benchmarks/terser.js~534033:25035479-25035510,
terser.js~532559-532572:29-13,terser.js~531750-531752:26-13,30,153,48,:anonymous,:anonymous,benchmarks/terser.js~532561:24960962-24960994,
