SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
typescript.js~547904-547906:5-5,typescript.js~547908-547914:5-5,12,34,62,emitNewLineBeforeLeadingComments,emitNewLineBeforeLeadingCommentsOfPosition,benchmarks/typescript.js~547905:25956528-25956613,
typescript.js~591667-591703:13-13,typescript.js~547142-547144:5-5,9317,311,29,checkIndexConstraintForProperty,isKnownSymbol,benchmarks/typescript.js~591669:28428544-28428565,
typescript.js~567277-595876:5-5,typescript.js~551337-551339:5-5,11,7090,41,createTypeChecker,getStrictOptionValue,benchmarks/typescript.js~567319:26943252-26943314,
typescript.js~575574-575615:9-9,typescript.js~575077-575099:9-9,12,392,115,createTupleTypeOfArity,getTypeListId,benchmarks/typescript.js~575600:27452253-27452286,
typescript.js~564213-564231:9-9,typescript.js~564232-564245:9-9,88,167,93,isNarrowingBinaryExpression,isNarrowableOperand,benchmarks/typescript.js~564221:26776125-26776154,
typescript.js~593441-593541:9-9,typescript.js~593430-593440:9-9,583,625,67,getSymbolOfEntityNameOrPropertyAccessExpression,isImportTypeQualifierPart,benchmarks/typescript.js~593469:28533387-28533423,
typescript.js~558442-558458:17-17,typescript.js~553614-553616:9-9,7491,139,9,skipWhitespaceOrAsterisk,token,benchmarks/typescript.js~558449:26466858-26466864,
typescript.js~621272-621280:9-9,typescript.js~621234-621236:9-9,214,74,24,writeTokenNode,writePunctuation,benchmarks/typescript.js~621276:29991240-29991274,
typescript.js~574936-574939:9-9,typescript.js~577011-577013:9-9,209,35,21,createErasedSignature,createTypeEraser,benchmarks/typescript.js~574938:27412794-27412835,
typescript.js~544485-544504:9-9,typescript.js~555075-555084:9-9,242,70,101,speculationHelper,isStartOfMappedType,benchmarks/typescript.js~544492:25797032-25797041,
typescript.js~588057-588338:9-9,typescript.js~588287-588301:13-13,12,1318,101,checkBinaryLikeExpression,checkAssignmentOperator,benchmarks/typescript.js~588132:28215311-28215347,
typescript.js~608826-608830:9-9,typescript.js~600397-600407:5-5,60,69,112,visitFunctionBodyDownLevel,visitFunctionBody,benchmarks/typescript.js~608827:29348192-29348252,
