SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
uglify-js.js~668056-668524:23-9,uglify-js.js~664323-664325:17-9,2496,1845,42,:anonymous,option,benchmarks/uglify-js.js~668059:32567035-32567066,
uglify-js.js~662179-662197:27-9,uglify-js.js~662198-662214:9-9,665,175,145,maybe_unary,make_unary,benchmarks/uglify-js.js~662184:32303435-32303494,
uglify-js.js~664382-664399:17-9,uglify-js.js~662384-662388:19-9,600,155,86,before,:anonymous,benchmarks/uglify-js.js~664390:32388739-32388757,
uglify-js.js~196683-196706:36-7,<builtin>~1-1:1-1,123,170,29,:anonymous,String.prototype.replace,benchmarks/uglify-js.js~196687:7478259-7478330,
uglify-js.js~665556-665713:13-13,uglify-js.js~660196-660198:16-9,60,903,22,handle_if_return,clone,benchmarks/uglify-js.js~665626:32449876-32449887,
uglify-js.js~668468-668487:13-13,<builtin>~1-1:1-1,96,210,11,flatten_args,Array.prototype.reverse,benchmarks/uglify-js.js~668485:32587616-32587630,
uglify-js.js~664916-664961:9-9,<builtin>~1-1:1-1,48,236,7,make_node_from_constant,isNaN,benchmarks/uglify-js.js~664924:32411829-32411838,
uglify-js.js~662037-662084:36-9,uglify-js.js~662273-662287:26-9,60,272,113,object_,expression,benchmarks/uglify-js.js~662076:32299835-32299851,
uglify-js.js~665060-665130:51-17,uglify-js.js~665430-665440:28-21,2334,982,72,scanner,:anonymous,benchmarks/uglify-js.js~665080:32419802-32419821,
uglify-js.js~660544-660549:41-13,uglify-js.js~660561-660566:16-9,15670,54,30,:anonymous,_walk,benchmarks/uglify-js.js~660547:32232823-32232851,
uglify-js.js~669034-669153:28-9,uglify-js.js~660089-660091:14-9,6,993,60,:anonymous,get,benchmarks/uglify-js.js~669081:32619684-32619719,
uglify-js.js~665383-665395:17-17,<builtin>~1-1:1-1,4080,139,18,get_lhs,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~665393:32437698-32437723,
uglify-js.js~665750-665757:17-17,uglify-js.js~664902-664909:9-9,504,63,156,push_seq,make_node,benchmarks/uglify-js.js~665753-665755:32456234-32456329,
uglify-js.js~663728-663756:27-9,uglify-js.js~663171-663248:9-9,222,50,588,:anonymous,print,benchmarks/uglify-js.js~663729:32362831-32362849,
uglify-js.js~669034-669153:28-9,uglify-js.js~666153-666168:51-13,13074,664,100,:anonymous,:anonymous,benchmarks/uglify-js.js~669035:32617297-32617328,
uglify-js.js~667060-667239:42-13,uglify-js.js~666979-666993:101-13,72990,755,161,before,assign_as_unused,benchmarks/uglify-js.js~667063:32516284-32516312,
uglify-js.js~666790-666796:29-13,uglify-js.js~666818-666820:26-13,276,123,45,:anonymous,:anonymous,benchmarks/uglify-js.js~666791:32503522-32503553,
uglify-js.js~660618-660621:41-13,uglify-js.js~660609-660613:16-9,83,47,30,:anonymous,_walk,benchmarks/uglify-js.js~660620:32235818-32235845,
uglify-js.js~196646-196752:5-5,<builtin>~1-1:1-1,77,641,11,template,RegExp.prototype.get source,benchmarks/uglify-js.js~196670:7477510-7477545,
uglify-js.js~666058-666063:26-13,<builtin>~1-1:1-1,366,69,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~666061:32471563-32471590,
uglify-js.js~665262-665328:17-17,<builtin>~1-1:1-1,38322,525,18,extract_candidates,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~665286:32431816-32431839,
uglify-js.js~660840-660850:17-9,uglify-js.js~664586-664592:45-13,15,87,81,_visit,suppressor,benchmarks/uglify-js.js~660842-660844:32244539-32244635,
uglify-js.js~666326-666355:34-13,uglify-js.js~666464-666485:32-13,2256,218,124,:anonymous,:anonymous,benchmarks/uglify-js.js~666332:32484673-32484706,
uglify-js.js~667905-668002:25-9,<builtin>~1-1:1-1,6,793,18,:anonymous,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~667962:32562360-32562384,
uglify-js.js~663968-663971:35-17,uglify-js.js~663316-663319:9-9,3588,37,19,:anonymous,comma,benchmarks/uglify-js.js~663969:32371746-32371759,
uglify-js.js~664168-664183:9-9,<builtin>~1-1:1-1,2856,225,11,make_num,Number.prototype.toString,benchmarks/uglify-js.js~664172:32379909-32379923,
uglify-js.js~664554-664566:13-13,<builtin>~1-1:1-1,1390,247,18,is_modified,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~664556:32396215-32396240,
uglify-js.js~661280-661292:9-9,uglify-js.js~661064-661092:9-9,4315,34,345,read_operator,token,benchmarks/uglify-js.js~661291:32271423-32271463,
uglify-js.js~669276-669430:30-9,uglify-js.js~659927-659929:5-5,792,909,11,:anonymous,return_this,benchmarks/uglify-js.js~669284:32629638-32629663,
uglify-js.js~196740-196743:28-7,lodash.templateSources[70]~1-13:1-2,1,51,10,result,:program,benchmarks/uglify-js.js~196741:7480055-7480107,
uglify-js.js~663338-663404:9-9,uglify-js.js~660854-660861:15-9,930,296,122,prepend_comments,push,benchmarks/uglify-js.js~663361:32348091-32348103,
uglify-js.js~665060-665130:51-17,<builtin>~1-1:1-1,23442,807,18,scanner,Function.prototype.[Symbol.hasInstance],benchmarks/uglify-js.js~665072:32419051-32419075,
uglify-js.js~660575-660581:41-13,uglify-js.js~660609-660613:16-9,3976,74,30,:anonymous,_walk,benchmarks/uglify-js.js~660580:32234102-32234131,
uglify-js.js~661506-661652:38-9,uglify-js.js~661786-661795:9-9,485,888,64,statement,block_,benchmarks/uglify-js.js~661535:32280762-32280769,
uglify-js.js~663760-663766:32-13,uglify-js.js~662890-662901:40-13,6,66,107,:anonymous,AST_Node.print,benchmarks/uglify-js.js~663765:32364103-32364127,
uglify-js.js~665747-665775:13-13,uglify-js.js~665750-665757:17-17,1596,227,67,sequencesize,push_seq,benchmarks/uglify-js.js~665772:32457181-32457190,
uglify-js.js~665556-665713:13-13,uglify-js.js~664323-664325:17-9,198,848,42,handle_if_return,option,benchmarks/uglify-js.js~665643:32450828-32450857,
